date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2012145,0,0,13,-74.769,-107.356,0,10,0
2012146,1,0,13,-74.769,-107.356,0,10,0
2012147,1,0,13,-74.769,-107.356,0,10,0
2012148,1,0,13,-74.769,-107.356,0,10,0
2012149,1,0,13,-74.769,-107.356,0,10,0
2012150,1,0,13,-74.769,-107.356,0,10,0
2012151,1,0,13,-74.769,-107.356,0,10,0
2012152,1,0,13,-74.769,-107.356,0,10,0
2012153,1,0,13,-74.769,-107.356,0,10,0
2012154,1,0,13,-74.769,-107.356,0,10,0
2012155,1,0,13,-74.769,-107.356,0,10,0
2012156,1,0,13,-74.769,-107.356,0,10,0
2012157,1,0,13,-74.769,-107.356,0,10,0
2012158,1,0,13,-74.769,-107.356,0,10,0
2012159,1,0,13,-74.769,-107.356,0,10,0
2012160,1,0,13,-74.769,-107.356,0,10,0
2012161,1,0,13,-74.769,-107.356,0,10,0
2012162,1,0,13,-74.769,-107.356,0,10,0
2012163,1,0,13,-74.769,-107.356,0,10,0
2012164,1,0,13,-74.769,-107.356,0,10,0
2012165,1,0,13,-74.769,-107.356,0,10,0
2012166,1,0,13,-74.769,-107.356,0,10,0
2012167,1,0,13,-74.769,-107.356,0,10,0
2012168,1,0,13,-74.769,-107.356,0,10,0
2012169,1,0,13,-74.769,-107.356,0,10,0
2012170,1,0,13,-74.769,-107.356,0,10,0
2012171,1,0,13,-74.769,-107.356,0,10,0
2012172,1,0,13,-74.769,-107.356,0,10,0
2012173,1,0,13,-74.769,-107.356,0,10,0
2012174,1,0,13,-74.769,-107.356,0,10,0
2012175,1,0,13,-74.769,-107.356,0,10,0
2012176,1,0,13,-74.769,-107.356,0,10,0
2012178,2,0,13,-74.769,-107.356,0,10,0
2012179,1,0,13,-74.769,-107.356,0,10,0
2012180,1,0,13,-74.769,-107.356,0,10,0
2012181,1,0,13,-74.769,-107.356,0,10,0
2012182,1,0,13,-74.769,-107.356,0,10,0
2012183,1,0,13,-74.769,-107.356,0,10,0
2012184,1,0,13,-74.769,-107.356,0,10,0
2012185,1,0,13,-74.769,-107.356,0,10,0
2012186,1,0,13,-74.769,-107.356,0,10,0
2012187,1,0,13,-74.769,-107.356,0,10,0
2012188,1,0,13,-74.769,-107.356,0,10,0
2012189,1,0,13,-74.769,-107.356,0,10,0
2012190,1,0,13,-74.769,-107.356,0,10,0
2012191,1,0,13,-74.769,-107.356,0,10,0
2012192,1,0,13,-74.769,-107.356,0,10,0
2012193,1,0,13,-74.769,-107.356,0,10,0
2012194,1,0,13,-74.769,-107.356,0,10,0
2012195,1,0,13,-74.769,-107.356,0,10,0
2012199,4,0,13,-74.769,-107.356,0,10,0
2012200,1,0,13,-74.769,-107.356,0,10,0
2012201,1,0,13,-74.769,-107.356,0,10,0
2012202,1,0,13,-74.769,-107.356,0,10,0
2012203,1,0,13,-74.769,-107.356,0,10,0
2012204,1,0,13,-74.769,-107.356,0,10,0
2012205,1,0,13,-74.769,-107.356,0,10,0
2012207,2,0,13,-74.769,-107.356,0,10,0
2012208,1,0,13,-74.769,-107.356,0,10,0
2012209,1,0,13,-74.769,-107.356,0,10,0
2012210,1,0,13,-74.769,-107.356,0,10,0
2012211,1,0,13,-74.769,-107.356,0,10,0
2012218,7,1.127,13,-74.759,-107.344,0,10,0
2012219,1,2.245,13,-74.74,-107.321,0,10,0
2012220,1,1.217,13,-74.751,-107.317,0,10,0
2012221,1,2.976,13,-74.768,-107.238,0,10,0
2012222,1,1.753,13,-74.763,-107.296,0,10,0
2012223,1,2.749,13,-74.771,-107.206,0,10,0
2012224,1,3.188,13,-74.753,-107.292,0,10,0
2012225,1,3.52,13,-74.727,-107.225,0,10,0
2012226,1,2.305,13,-74.745,-107.264,0,10,0
2012227,1,6.023,13,-74.702,-107.393,0,10,0
2012228,1,1.117,13,-74.712,-107.404,0,10,0
2012229,1,1.498,13,-74.705,-107.36,0,10,0
2012230,1,0.243,13,-74.706,-107.352,0,10,0
2012231,1,1.674,13,-74.719,-107.323,0,10,0
2012233,2,2.286,13,-74.714,-107.247,0,10,0
2012234,1,2.261,13,-74.694,-107.232,0,10,0
2012235,1,2.24,13,-74.688,-107.305,0,10,0
2012236,1,2.082,13,-74.693,-107.373,0,10,0
2012237,1,3.557,13,-74.681,-107.261,0,10,0
2012238,1,4.51,13,-74.702,-107.393,0,10,0
2012239,1,2.682,13,-74.687,-107.322,0,10,0
2012240,1,4.587,13,-74.678,-107.169,0,10,0
2012241,1,5.749,13,-74.723,-107.266,0,10,0
2012242,1,1.499,13,-74.711,-107.287,0,10,0
2012243,1,2.243,13,-74.692,-107.264,0,10,0
2012244,1,0.752,13,-74.694,-107.24,0,10,0
2012245,1,4.047,13,-74.659,-107.279,0,10,0
2012246,1,3.552,13,-74.671,-107.391,0,10,0
2012247,1,4.038,13,-74.648,-107.284,0,10,0
2012248,1,2.724,13,-74.645,-107.192,0,10,0
2012249,1,3.557,13,-74.633,-107.08,0,10,0
2012250,1,3.597,13,-74.659,-107.154,0,10,0
2012251,1,3.163,13,-74.633,-107.205,0,10,0
2012252,1,2.743,13,-74.617,-107.275,0,10,0
2012253,1,6.022,13,-74.601,-107.079,0,10,0
2012254,1,2.272,13,-74.621,-107.094,0,10,0
2012255,1,5.876,13,-74.578,-106.981,0,10,0
2012256,1,3.426,13,-74.559,-107.075,0,10,0
2012257,1,1.355,13,-74.567,-107.11,0,10,0
2012258,1,3.92,13,-74.543,-107.012,0,10,0
2012259,1,2.252,13,-74.563,-107.035,0,10,0
2012260,1,3.367,13,-74.534,-106.994,0,10,0
2012261,1,4.354,13,-74.513,-106.872,0,10,0
2012262,1,4.507,13,-74.534,-107.001,0,10,0
2012263,1,0.999,13,-74.531,-107.034,0,10,0
2012264,1,1.156,13,-74.54,-107.053,0,16.94,0
2012265,1,1.751,13,-74.536,-107.109,0,25.09,0
2012266,1,2.998,13,-74.522,-107.023,0,40.42,0
2012267,1,2.24,13,-74.502,-107.001,0,57.24,0
2012268,1,3.511,13,-74.476,-106.935,0,81.35,0
2012269,1,1.125,13,-74.466,-106.924,0,107.02,0
2012270,1,1.155,13,-74.475,-106.943,0,140,0
2012271,1,3.793,13,-74.442,-106.967,0,174.56,0
2012272,1,1.347,13,-74.453,-106.953,0,216.42,0
2012273,1,1.499,13,-74.46,-106.996,0,259.81,0
2012274,1,1.239,13,-74.471,-106.992,0,310.52,0
2012275,1,6.251,13,-74.43,-106.849,0,362.76,0
2012278,3,0,13,-74.43,-106.849,0,422.32,0
2012279,1,0,13,-74.43,-106.849,0,483.42,0
2012280,1,1.753,13,-74.426,-106.905,0,544.91,0
2012281,1,1.754,13,-74.43,-106.849,0,606.76,0
2012282,1,2.291,13,-74.415,-106.902,0,668.77,0
2012283,1,3.364,13,-74.386,-106.869,0,730.78,0
2012284,1,0.753,13,-74.388,-106.845,0,792.93,0
2012285,1,2.554,13,-74.366,-106.863,0,855.06,0
2012286,1,3.19,13,-74.341,-106.914,0,917.24,0
2012287,1,5.937,13,-74.336,-106.716,0,979.38,0
2012288,1,5.508,14,-74.346,-106.896,0,1041.56,0
2012289,1,1.505,15,-74.356,-106.86,0,1103.73,0
2012290,1,3.113,15,-74.329,-106.831,0,1165.93,0
2012291,1,1.578,15,-74.338,-106.871,0,1221.52,0
2012292,1,3.973,15,-74.304,-106.834,0,1276.05,0
2012293,1,3.26,15,-74.276,-106.799,0,1323.1,0
2012294,1,3.511,15,-74.304,-106.854,0,1368.64,0
2012295,1,0.462,14,-74.307,-106.865,0,1407.08,0
2012296,1,2.098,15,-74.288,-106.87,0,1444.11,0
2012297,1,0.894,15,-74.284,-106.845,0,1473.47,0
2012298,1,0.153,15,-74.283,-106.847,0,1500.77,0
2012299,1,0.564,15,-74.282,-106.829,0,1518.99,0
2012300,1,1.871,15,-74.269,-106.791,0,1536.04,0
2012301,1,3.237,15,-74.24,-106.767,0,1546.99,0
2012302,1,0.944,14,-74.232,-106.766,0,1556.21,-0.0033
2012303,1,9.09,15,-74.154,-106.67,0,1557.37,-0.0011
2012304,1,1.897,15,-74.142,-106.716,0,1556.91,0.0006
2012305,1,1.185,15,-74.133,-106.733,0,1557.32,0.0203
2012306,1,2.398,15,-74.114,-106.693,0,1555.58,0.0259
2012307,1,3.989,15,-74.11,-106.823,0,1555.07,0.0408
2012308,1,3.229,15,-74.082,-106.833,0,1548.41,0.0462
2012309,1,4.613,14,-74.04,-106.833,0,1544.63,0.0439
2012310,1,1.857,15,-74.025,-106.86,0,1538.71,0.0217
2012311,1,2.943,15,-74.002,-106.906,0,1528.97,0.0154
2012312,1,0.799,15,-73.995,-106.919,0,1518.39,0.0069
2012313,1,0.779,15,-73.989,-106.932,0,1509.78,0.0206
2012314,1,7.895,15,-73.946,-107.137,0,1497.09,0.0177
2012315,1,4.406,15,-73.907,-107.135,0,1486.98,0.0266
2012316,1,4.061,14,-73.871,-107.167,0,1471.25,0.0249
2012317,1,4.441,15,-73.831,-107.172,0,1450.2,0.0186
2012318,1,4.736,15,-73.798,-107.267,0,1427.01,0.0022
2012319,1,3.589,15,-73.768,-107.315,0,1400.51,0.0009
2012320,1,3.448,15,-73.755,-107.416,0,1382.56,-0.0038
2012321,1,3.535,15,-73.731,-107.488,1,1344.23,0
2012322,1,2.496,15,-73.71,-107.516,1,1322.44,0
2012323,1,4.526,14,-73.676,-107.599,1,1296.03,0
2012324,1,2.766,15,-73.677,-107.688,1,1266.26,0
2012325,1,3.977,15,-73.649,-107.769,1,1237.58,0
2012326,1,5.989,15,-73.596,-107.736,1,1207.83,0
2012327,1,3.4,15,-73.581,-107.83,1,1174.7,0
2012328,1,2.205,15,-73.569,-107.886,0,1141.66,0
2012329,1,4.158,15,-73.545,-107.99,0,1108.61,0
2012330,1,3.176,14,-73.531,-108.077,0,1074.17,0
2012331,1,3.197,15,-73.502,-108.091,1,1041.34,0
2012332,1,2.73,15,-73.49,-108.165,1,1007.17,0
2012333,1,1.292,15,-73.488,-108.205,1,980.25,0
2012334,1,3.763,15,-73.454,-108.208,1,950.23,0.0183
2012335,1,2.286,15,-73.433,-108.22,1,921.35,-0.0107
2012336,1,0.774,15,-73.427,-108.23,1,897.6,-0.0343
2012337,1,2.984,14,-73.4,-108.234,1,875.91,-0.0501
2012338,1,3.924,15,-73.378,-108.331,1,852.51,-0.0653
2012339,1,4.011,15,-73.346,-108.388,1,834.79,-0.0466
2012340,1,2.571,15,-73.332,-108.323,1,813.99,-0.0226
2012341,1,3.733,15,-73.311,-108.413,1,798.7,0.0069
2012342,1,2.871,15,-73.285,-108.405,1,788.27,0.0416
2012343,1,2.076,15,-73.27,-108.442,1,781.86,0.0243
2012344,1,3.436,14,-73.239,-108.424,1,777.84,0.0174
2012345,1,4.552,15,-73.202,-108.482,1,766.07,0.006
2012346,1,3.704,15,-73.202,-108.598,1,775.47,-0.0302
2012347,1,0.509,15,-73.2,-108.583,1,768.86,-0.0504
2012348,1,5.988,15,-73.147,-108.6,1,769.76,0.0622
2012349,1,0.533,15,-73.146,-108.583,1,776.01,0.222
2012350,1,3.532,15,-73.156,-108.688,1,783.06,0.3136
2012351,1,3.276,14,-73.168,-108.781,1,786.25,0.122
2012352,1,3.205,15,-73.146,-108.717,1,793.28,-0.0734
2012353,1,1.208,15,-73.142,-108.753,1,804.6,-0.0179
2012354,1,0,15,-73.142,-108.753,1,812.87,0.3095
2012355,1,0,15,-73.142,-108.753,1,825.86,0.3331
2012356,1,0.711,15,-73.148,-108.759,1,838.54,0.4507
2012357,1,0,15,-73.148,-108.759,1,850.9,0.5096
2012358,1,2.844,15,-73.17,-108.712,1,862.17,0.3924
2012359,1,3.066,15,-73.194,-108.666,1,874.68,0.0119
2012360,1,1.889,15,-73.199,-108.723,1,888.23,-0.2335
2012361,1,0.425,15,-73.195,-108.728,1,897.14,-0.1609
2012362,1,1.248,15,-73.196,-108.689,1,904.89,0.0867
2012363,1,2.658,15,-73.219,-108.714,1,912.4,0
2012364,1,1.046,15,-73.228,-108.726,1,918.33,0
2012365,1,0.702,14,-73.227,-108.748,1,924.79,0
2012366,1,2.161,15,-73.209,-108.777,1,931.02,0
2013001,1,2.464,15,-73.231,-108.765,1,937.69,0.0051
2013002,1,1.532,15,-73.24,-108.728,1,942.85,-0.0034
2013003,1,1.735,15,-73.225,-108.709,1,948.97,-0.0094
2013004,1,3.267,15,-73.202,-108.772,1,954.12,-0.0131
2013005,1,3.283,15,-73.175,-108.732,1,958.1,-0.0143
2013006,1,3.739,14,-73.191,-108.836,1,961.94,-0.0131
2013007,1,1.98,13,-73.175,-108.806,0,963.08,-0.0094
2013008,1,2.282,13,-73.179,-108.876,0,960.88,-0.0034
2013009,1,1.151,13,-73.188,-108.895,0,956.05,0.0051
2013010,1,2.999,13,-73.174,-108.814,0,954.99,0
2013011,1,3.427,13,-73.143,-108.802,0,953.93,0
2013012,1,8.134,13,-73.07,-108.79,0,948.52,0
2013013,1,1.339,13,-73.063,-108.757,0,946.51,0
2013014,1,0.243,13,-73.064,-108.75,0,940.35,0
2013015,1,4.894,13,-73.096,-108.852,0,934.97,0
2013016,1,5.609,13,-73.048,-108.804,0,929.79,0
2013017,1,6.004,13,-73.062,-108.983,0,924.71,0
2013018,1,3.947,13,-73.052,-108.865,0,918.36,0
2013019,1,1.873,13,-73.038,-108.898,0,911.09,0.0224
