date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
1999031,0,0,2,-76.8,-52.3,0,10,0
1999045,14,11.097,2,-76.7,-52.3,0,10,0
1999080,35,68.394,2,-76.1,-52.9,0,10,0
1999101,21,83.282,2,-75.4,-54,0,10,0
1999102,1,4.201,3,-75.383,-54.133,0,10,0
1999103,1,5.848,3,-75.368,-54.333,0,10,0
1999104,1,6.821,3,-75.354,-54.571,0,10,0
1999105,1,7.017,3,-75.341,-54.815,0,10,0
1999106,1,6.421,3,-75.328,-55.038,0,10,0
1999107,1,5.044,3,-75.315,-55.21,0,10,0
1999108,1,3.038,2,-75.3,-55.3,0,10,0
1999129,21,45.832,2,-74.9,-55.7,0,10,0
1999130,1,8.326,3,-74.835,-55.842,0,10,0
1999131,1,15.002,3,-74.724,-56.139,0,10,0
1999132,1,18.864,3,-74.589,-56.528,0,10,0
1999133,1,19.827,3,-74.449,-56.944,0,10,0
1999134,1,17.868,3,-74.324,-57.321,0,10,0
1999135,1,12.907,3,-74.234,-57.594,0,10,0
1999136,1,4.975,2,-74.2,-57.7,0,10,0
1999150,14,65.9,2,-74.5,-55.8,0,10,0
1999151,1,0.965,3,-74.491,-55.8,0,10,0
1999152,1,2.541,3,-74.468,-55.8,0,10,0
1999153,1,3.618,3,-74.436,-55.8,0,13.47,0
1999154,1,4.184,3,-74.398,-55.8,0,19,0
1999155,1,4.25,3,-74.36,-55.8,0,29.7,0
1999156,1,3.795,3,-74.326,-55.8,0,43.65,0
1999157,1,2.841,2,-74.3,-55.8,0,64.4,0
1999171,14,30.659,2,-74.1,-56.5,0,88.38,0
1999172,1,3.851,3,-74.065,-56.49,0,121.42,0
1999173,1,5.744,3,-74.014,-56.465,0,157.69,0
1999174,1,7.007,3,-73.952,-56.43,0,204.92,0
1999175,1,7.655,3,-73.884,-56.391,0,212.77,0
1999176,1,7.673,3,-73.815,-56.352,0,276.02,0
1999177,1,7.061,3,-73.752,-56.32,0,344.34,0
1999178,1,5.838,2,-73.7,-56.3,0,424.79,0
1999192,14,55.578,2,-73.2,-56.2,0,445.87,0
1999193,1,6.452,3,-73.142,-56.208,0,541.27,0
1999194,1,7.984,3,-73.07,-56.228,0,640.92,0
1999195,1,8.919,3,-72.99,-56.258,0,748.76,0
1999196,1,9.218,3,-72.908,-56.293,0,860.09,0
1999197,1,8.92,3,-72.828,-56.331,0,978.6,0
1999198,1,7.982,3,-72.757,-56.368,0,1100.74,0
1999199,1,6.436,2,-72.7,-56.4,0,1214.88,0
1999220,21,80.265,2,-72,-57,1,1333.38,0
1999221,1,1.885,3,-71.983,-56.995,1,1466.28,0
1999222,1,1.64,3,-71.969,-56.98,1,1602.27,0
1999223,1,1.532,3,-71.957,-56.961,1,1740.42,0
1999224,1,1.509,3,-71.945,-56.939,1,1851.09,0
1999225,1,1.553,3,-71.932,-56.92,1,1964.5,0
1999226,1,1.683,3,-71.918,-56.906,1,2077.44,0
1999227,1,1.962,2,-71.9,-56.9,1,2192.93,0
1999241,14,83.865,2,-71.4,-58.7,1,2334.68,0
1999242,1,10.473,3,-71.321,-58.861,1,2453.43,0
1999243,1,14.278,3,-71.207,-59.047,1,2560.96,0
1999244,1,16.374,3,-71.074,-59.243,1,2665.26,0
