date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2001119,0,0,3,-71.2,-58.7,0,325.85,0
2001123,4,0,17,-71.2,-58.7,1,375.02,0
2001124,1,0,17,-71.2,-58.7,1,424.19,0
2001125,1,2.002,17,-71.211,-58.656,1,473.36,0
2001126,1,0,17,-71.211,-58.656,1,522.53,0
2001127,1,0,17,-71.211,-58.656,1,571.7,0
2001128,1,0,17,-71.211,-58.656,1,620.87,0
2001129,1,0,17,-71.211,-58.656,1,670.04,0
2001130,1,0,17,-71.211,-58.656,1,719.21,0
2001131,1,0,17,-71.211,-58.656,0,768.38,0
2001132,1,0,17,-71.211,-58.656,0,817.55,0
2001133,1,0,17,-71.211,-58.656,0,866.72,0
2001134,1,0,17,-71.211,-58.656,1,915.89,0
2001135,1,0,17,-71.211,-58.656,1,958.39,0
2001136,1,5.633,17,-71.25,-58.555,1,1000.84,0
2001137,1,0,17,-71.25,-58.555,1,1053.89,0
2001138,1,0,17,-71.25,-58.555,1,1107.21,-0.0195
2001139,1,4.984,17,-71.288,-58.482,1,1142.54,0.1351
2001140,1,0,17,-71.288,-58.482,1,1196.7,0.0787
2001141,1,0,17,-71.288,-58.482,1,1230.05,-0.1935
2001142,1,0,17,-71.288,-58.482,1,1261.99,-0.658
2001143,1,0,17,-71.288,-58.482,1,1292.23,-0.7865
2001144,1,4.049,17,-71.287,-58.595,1,1321.21,-0.457
2001145,1,6.518,17,-71.232,-58.662,1,1347.42,-0.1544
2001146,1,0,17,-71.232,-58.662,1,1375.47,0.2128
2001147,1,0,17,-71.232,-58.662,1,1408.85,0.5506
2001148,1,0,17,-71.232,-58.662,1,1441.97,0.5375
2001149,1,0,17,-71.232,-58.662,1,1472.78,0.2505
2001150,1,0,17,-71.232,-58.662,1,1496.62,-0.1838
2001151,1,0,17,-71.232,-58.662,1,1525.52,-0.2563
2001152,1,0,17,-71.232,-58.662,1,1549.09,-0.0551
2001153,1,0,17,-71.232,-58.662,1,1575.27,-0.0337
2001154,1,4.502,19,-71.266,-58.731,1,1597.88,0.0272
2001155,1,4.502,17,-71.232,-58.662,1,1626.77,-0.0211
2001156,1,0,17,-71.232,-58.662,1,1643.94,-0.023
2001157,1,0,17,-71.232,-58.662,1,1667.01,-0.0216
2001158,1,0,17,-71.232,-58.662,1,1678.01,-0.0154
2001159,1,0,17,-71.232,-58.662,1,1691.23,-0.0055
2001160,1,0,17,-71.232,-58.662,1,1703.88,0.0083
2001161,1,0,17,-71.232,-58.662,1,1715.19,0
2001162,1,0,17,-71.232,-58.662,1,1728.29,0
2001163,1,0,17,-71.232,-58.662,1,1739.1,0
2001164,1,0,17,-71.232,-58.662,1,1751.02,0
2001165,1,0,17,-71.232,-58.662,1,1759.62,0
2001166,1,0,17,-71.232,-58.662,1,1767.78,0
2001167,1,0,17,-71.232,-58.662,1,1774.12,0
2001168,1,0,17,-71.232,-58.662,1,1788.8,0
2001169,1,0,17,-71.232,-58.662,1,1812.11,0
2001170,1,0,17,-71.232,-58.662,1,1815.52,0
2001171,1,0,17,-71.232,-58.662,1,1844.92,0
2001172,1,0,17,-71.232,-58.662,1,1859.33,0
2001173,1,0,17,-71.232,-58.662,1,1845.51,0
2001174,1,0,17,-71.232,-58.662,1,1830.78,0
2001175,1,0,17,-71.232,-58.662,1,1814.84,0
2001176,1,0,17,-71.232,-58.662,1,1794.96,0
2001177,1,0,17,-71.232,-58.662,1,1772,0
2001178,1,0,17,-71.232,-58.662,1,1746.95,0
2001179,1,0,17,-71.232,-58.662,1,1723.39,0
2001180,1,0,17,-71.232,-58.662,1,1690.53,0
2001181,1,0,17,-71.232,-58.662,1,1666.45,0
2001182,1,0,17,-71.232,-58.662,1,1639.2,0
2001183,1,0,17,-71.232,-58.662,1,1612.2,0
2001184,1,0,17,-71.232,-58.662,1,1584.06,0
2001185,1,0,17,-71.232,-58.662,1,1619.86,0
2001186,1,0,17,-71.232,-58.662,1,1591.01,0
2001187,1,0,17,-71.232,-58.662,1,1560.21,0
2001188,1,0,17,-71.232,-58.662,1,1530.61,0
2001189,1,0,17,-71.232,-58.662,1,1499.22,0
2001190,1,0,17,-71.232,-58.662,1,1469.7,0
2001191,1,0,17,-71.232,-58.662,1,1439.71,0
2001192,1,0,17,-71.232,-58.662,1,1412.01,0
2001193,1,0,17,-71.232,-58.662,1,1375.68,0
2001194,1,0,17,-71.232,-58.662,1,1333.12,0
2001195,1,0,17,-71.232,-58.662,1,1313.97,0
2001196,1,0,17,-71.232,-58.662,1,1266.69,0
2001197,1,0,17,-71.232,-58.662,1,1230.05,0
2001198,1,0,17,-71.232,-58.662,1,1222.15,0
2001199,1,0,17,-71.232,-58.662,1,1214.25,0
2001200,1,0,17,-71.232,-58.662,1,1211.86,0
2001201,1,0,17,-71.232,-58.662,1,1215.14,0
2001202,1,0,17,-71.232,-58.662,1,1221.95,0
2001203,1,0,17,-71.232,-58.662,1,1232.77,0
2001204,1,0,17,-71.232,-58.662,1,1244.1,0
2001205,1,0,17,-71.232,-58.662,1,1262.35,0
2001206,1,0,17,-71.232,-58.662,1,1280.64,0
