date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2001157,0,0,17,-71.63,-59.4,1,2839.58,-0.0393
2001158,1,0,17,-71.63,-59.4,1,2826.13,0.0268
2001159,1,0,17,-71.63,-59.4,1,2812.68,0.026
2001160,1,7.813,17,-71.609,-59.613,1,2799.23,-0.0229
2001161,1,0,17,-71.609,-59.613,1,2785.79,-0.1005
2001162,1,0,17,-71.609,-59.613,1,2772.34,-0.1781
2001163,1,11.543,17,-71.563,-59.317,1,2758.89,-0.2399
2001164,1,0,17,-71.563,-59.317,1,2745.45,-0.2953
2001165,1,0,17,-71.563,-59.317,1,2732,-0.3136
2001166,1,0,17,-71.563,-59.317,1,2718.55,-0.2572
2001167,1,0,17,-71.563,-59.317,1,2705.1,-0.2171
2001168,1,10.45,17,-71.471,-59.253,1,2691.66,-0.1548
2001169,1,0,17,-71.471,-59.253,1,2678.21,-0.1705
2001170,1,0,17,-71.471,-59.253,1,2666.66,-0.1266
2001171,1,8.317,17,-71.404,-59.359,1,2657.26,-0.091
2001172,1,0,17,-71.404,-59.359,1,2648.25,-0.0678
2001173,1,0,17,-71.404,-59.359,1,2635.14,-0.0058
2001174,1,0,17,-71.404,-59.359,1,2625.33,0.0321
2001175,1,0,17,-71.404,-59.359,1,2616.01,0
2001176,1,0,17,-71.404,-59.359,1,2607.21,0
2001177,1,0,17,-71.404,-59.359,1,2598.78,0
2001178,1,0,17,-71.404,-59.359,1,2589.05,0
2001179,1,0,17,-71.404,-59.359,1,2581.19,0
2001180,1,6.291,17,-71.387,-59.529,1,2572.53,0
2001181,1,0,17,-71.387,-59.529,1,2563.34,0
2001182,1,0,17,-71.387,-59.529,1,2554.83,0
2001183,1,0,17,-71.387,-59.529,1,2542.82,0
2001184,1,0,17,-71.387,-59.529,1,2538.44,0
2001185,1,0,17,-71.387,-59.529,1,2525.88,0
2001186,1,0,17,-71.387,-59.529,1,2526.91,0
2001187,1,0,17,-71.387,-59.529,1,2526.44,0
2001188,1,3.232,17,-71.36,-59.56,1,2523.36,0
2001189,1,5.986,17,-71.309,-59.617,1,2524.14,0
2001190,1,3.234,17,-71.282,-59.648,1,2526.83,0
2001191,1,0,17,-71.282,-59.648,1,2524.7,0
2001192,1,0,17,-71.282,-59.648,1,2527.35,0
2001193,1,0,17,-71.282,-59.648,1,2529.64,0.0026
2001194,1,0,17,-71.282,-59.648,1,2529.19,-0.0017
2001195,1,0,17,-71.282,-59.648,1,2533.14,-0.0048
2001196,1,0,17,-71.282,-59.648,1,2532.44,-0.0387
2001197,1,4.146,17,-71.248,-59.701,1,2528.11,0.0229
2001198,1,0,17,-71.248,-59.701,1,2525.1,0.0367
2001199,1,0,17,-71.248,-59.701,1,2517.9,0.0702
2001200,1,0,17,-71.248,-59.701,1,2509.89,0.0944
2001201,1,0,17,-71.248,-59.701,1,2500.08,0.0689
2001202,1,0,17,-71.248,-59.701,1,2489.17,0.0699
2001203,1,0,17,-71.248,-59.701,1,2477.64,-0.025
2001204,1,0,17,-71.248,-59.701,1,2464.77,-0.0688
2001205,1,0,17,-71.248,-59.701,1,2452.22,-0.0384
2001206,1,0,17,-71.248,-59.701,1,2439.13,-0.0576
2001207,1,0,17,-71.248,-59.701,1,2423.49,-0.03
2001208,1,0,17,-71.248,-59.701,1,2407.75,-0.0085
2001209,1,0,17,-71.248,-59.701,1,2392.02,-0.0099
2001210,1,8.414,19,-71.174,-59.75,1,2372.36,0.0245
2001211,1,8.414,17,-71.248,-59.701,1,2351.58,-0.0213
2001212,1,0,17,-71.248,-59.701,1,2332.87,0.0068
2001213,1,0,17,-71.248,-59.701,1,2309.22,0
2001214,1,0,17,-71.248,-59.701,1,2288.95,-0.0197
2001215,1,6.984,17,-71.185,-59.706,1,2269.08,0.0156
2001216,1,0,17,-71.185,-59.706,1,2248.19,0.0498
2001217,1,0,17,-71.185,-59.706,1,2227.46,0.019
2001218,1,0,17,-71.185,-59.706,1,2205.17,0.0328
2001219,1,6.802,17,-71.127,-59.766,1,2177.84,0.0374
2001220,1,0,17,-71.127,-59.766,1,2142.59,0.0326
2001221,1,0,17,-71.127,-59.766,1,2105.35,0.0256
2001222,1,0,17,-71.127,-59.766,1,2072.69,-0.0096
2001223,1,0,17,-71.127,-59.766,1,2043.35,0.053
2001224,1,1.922,19,-71.114,-59.733,1,2011.82,-0.0251
2001225,1,0.23,19,-71.114,-59.727,1,1979.59,-0.0962
2001226,1,0.307,19,-71.114,-59.718,1,1949.13,-0.1954
2001227,1,0.343,19,-71.114,-59.709,1,1918.55,-0.0632
2001228,1,0.339,19,-71.114,-59.699,1,1888.88,-0.0299
2001229,1,0.293,19,-71.114,-59.691,1,1860.53,0.1476
2001230,1,0.207,19,-71.114,-59.685,1,1832.11,-0.0566
2001231,1,0.077,19,-71.114,-59.683,1,1804.34,-0.1765
2001232,1,3.346,17,-71.127,-59.766,1,1781.7,-0.3568
2001233,1,24.879,17,-70.917,-59.529,1,1754.65,-0.427
2001234,1,0,17,-70.917,-59.529,1,1727.55,-0.4832
2001235,1,12.797,17,-70.802,-59.55,1,1704.68,-0.2217
2001236,1,0,17,-70.802,-59.55,1,1683.05,-0.0928
2001237,1,0,17,-70.802,-59.55,1,1657.36,0.134
2001238,1,8.047,17,-70.729,-59.548,1,1636.02,0.012
2001239,1,0,17,-70.729,-59.548,1,1611.99,0.0237
2001240,1,8.549,17,-70.656,-59.618,1,1585.76,0.0429
2001241,1,0,17,-70.656,-59.618,1,1560.83,0.0477
2001242,1,0,17,-70.656,-59.618,1,1535.21,-0.0002
2001243,1,9.384,17,-70.573,-59.668,1,1511.54,0.2259
2001244,1,0,17,-70.573,-59.668,1,1491.38,0.097
2001245,1,10.501,19,-70.486,-59.784,1,1478.37,-0.0446
2001246,1,10.341,19,-70.394,-59.829,1,1468.8,-0.1631
2001247,1,4.65,19,-70.354,-59.86,1,1458.52,-0.5392
2001248,1,0.744,19,-70.347,-59.86,1,1447.72,-0.749
2001249,1,0.683,19,-70.341,-59.86,1,1440.28,-0.8816
2001250,1,0.666,19,-70.335,-59.86,1,1434.36,-0.7071
2001251,1,0.716,19,-70.328,-59.86,1,1428.39,-0.3077
2001252,1,0.816,19,-70.321,-59.86,1,1423.62,-0.0106
2001253,1,2.79,17,-70.342,-59.819,1,1420.88,0.234
2001254,1,0,17,-70.342,-59.819,1,1417.19,0.4118
2001255,1,10.237,17,-70.254,-59.902,1,1414.29,0.1985
2001256,1,0,17,-70.254,-59.902,1,1411.38,0.1329
2001257,1,6.443,17,-70.199,-59.852,1,1405.52,0.0066
2001258,1,0,17,-70.199,-59.852,1,1404.11,-0.0083
