date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2001157,0,0,17,-71.63,-59.4,1,4073.23,0.0036
2001158,1,81.126,17,-71.427,-57.184,1,4014.17,-0.0018
2001159,1,26.489,17,-71.197,-56.985,1,3955.1,-0.0057
2001160,1,0,17,-71.197,-56.985,1,3896.04,-0.0072
2001161,1,0,17,-71.197,-56.985,1,3836.98,-0.0058
2001162,1,0,17,-71.197,-56.985,1,3777.92,0.0043
2001163,1,0,17,-71.197,-56.985,1,3718.86,0.0121
2001164,1,0,17,-71.197,-56.985,1,3659.8,0.0155
2001165,1,0,17,-71.197,-56.985,1,3600.74,0.0217
2001166,1,10.714,17,-71.134,-56.758,1,3541.68,0.0195
2001167,1,0,17,-71.134,-56.758,1,3482.62,0.0091
2001168,1,0,17,-71.134,-56.758,1,3423.56,0.0136
2001169,1,0,17,-71.134,-56.758,1,3364.5,0.0077
2001170,1,0,17,-71.134,-56.758,1,3321.97,0.0027
2001171,1,0,17,-71.134,-56.758,1,3279.86,-0.0043
2001172,1,0,17,-71.134,-56.758,1,3235.67,-0.011
2001173,1,0,17,-71.134,-56.758,1,3179.91,-0.0111
2001174,1,0,17,-71.134,-56.758,1,3126.42,-0.0118
2001175,1,0,17,-71.134,-56.758,1,3079.46,-0.0148
2001176,1,27.024,17,-71.119,-56.007,2,3029.1,0.0108
2001177,1,0,17,-71.119,-56.007,2,2978.07,0.0041
2001178,1,0,17,-71.119,-56.007,2,2921.55,0.0106
2001179,1,0,17,-71.119,-56.007,2,2881.06,0.0144
2001180,1,0,17,-71.119,-56.007,2,2826.91,0.0153
2001181,1,0,17,-71.119,-56.007,2,2772.95,0.0134
2001182,1,24.892,17,-70.897,-56.1,2,2721.07,0.0086
2001183,1,16.433,17,-70.766,-56.31,2,2668.44,0.001
2001184,1,19.034,17,-70.604,-56.482,2,2620.43,0.0016
2001185,1,0,17,-70.604,-56.482,2,2586.53,-0.0024
2001186,1,0,17,-70.604,-56.482,2,2540.99,0
2001187,1,0,17,-70.604,-56.482,1,2523.65,0.0046
2001188,1,9.947,17,-70.52,-56.576,1,2501.9,-0.0079
2001189,1,18.499,17,-70.364,-56.75,1,2481.94,-0.0095
