date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2001336,0,0,3,-69.4,-57.9,0,4.46,0
2001337,1,2.098,3,-69.419,-57.9,0,5.2,0
2001338,1,2.164,3,-69.438,-57.9,0,5.95,0
2001339,1,2.087,3,-69.457,-57.9,0,6.7,0
2001340,1,1.865,3,-69.474,-57.9,0,7.44,0
2001341,1,1.509,3,-69.488,-57.9,0,8.19,0
2001342,1,1.01,3,-69.497,-57.9,0,8.94,0
2001343,1,0.366,3,-69.5,-57.9,0,9.68,0
2002003,2,6250.391,3,-69.4,-58.4,0,11.18,0
2003033,395,245.658,3,-67.3,-60.3,0,11.92,0
2003034,1,1.322,3,-67.311,-60.311,0,12.67,0
2003035,1,3.242,3,-67.34,-60.327,0,13.42,0
2003036,1,4.393,3,-67.379,-60.344,0,15.65,0
2003037,1,4.791,3,-67.421,-60.362,0,19.52,0
2003038,1,4.386,3,-67.46,-60.379,0,23.64,0
2003039,1,3.225,3,-67.489,-60.392,0,29.62,0
2003040,1,1.279,3,-67.5,-60.4,0,35.86,0
2003082,42,4.248,3,-67.5,-60.5,0,43.94,0
2003096,14,5.55,3,-67.55,-60.5,0,52,0
2003117,21,6.981,3,-67.6,-60.6,0,61.75,0
2003159,42,8.46,3,-67.6,-60.4,0,71.39,0
2003160,1,0.611,3,-67.595,-60.4,0,82.72,0
2003161,1,1.587,3,-67.58,-60.4,0,93.94,0
2003162,1,2.176,3,-67.561,-60.4,0,106.05,0
2003163,1,2.353,3,-67.539,-60.4,0,117.93,0
2003164,1,2.176,3,-67.52,-60.4,0,130.16,0
2003165,1,1.587,3,-67.506,-60.4,0,141.13,0
2003166,1,0.611,3,-67.5,-60.4,0,151.37,0
2003167,1,0.187,3,-67.5,-60.396,0,161.34,0
2003168,1,0.488,3,-67.5,-60.384,0,172.31,0
2003169,1,0.701,3,-67.5,-60.368,0,182.2,0
2003170,1,0.803,3,-67.5,-60.349,0,192.44,0
2003171,1,0.816,3,-67.5,-60.33,0,202.42,0
2003172,1,0.722,3,-67.5,-60.313,0,212.31,0
2003173,1,0.531,3,-67.5,-60.3,0,221.82,0
2003222,49,35.684,3,-67.2,-60,0,230.69,0
2003299,77,37.532,3,-66.9,-59.6,0,238.96,0
2004074,140,45.274,3,-66.6,-58.9,1,246.7,0
2004351,277,521.035,17,-62.768,-52.524,1,272.16,0
2004352,1,0,17,-62.768,-52.524,2,277.16,0
2004353,1,9.132,17,-62.775,-52.703,2,297.47,0
2004354,1,16.255,17,-62.694,-52.97,2,300.45,0
2004355,1,0,17,-62.694,-52.97,2,301.77,0
2004356,1,11.14,17,-62.629,-53.136,2,295.71,0
2004357,1,0,17,-62.629,-53.136,2,288.61,0
2004358,1,0,17,-62.629,-53.136,2,282.62,0
2004359,1,0,17,-62.629,-53.136,2,281.47,0
2004360,1,4.291,17,-62.595,-53.178,2,280.62,0
2004361,1,4.292,17,-62.562,-53.22,2,278.69,0
2004362,1,0,17,-62.562,-53.22,2,277.18,0
2004363,1,11.954,17,-62.466,-53.327,2,275.5,0
2004364,1,0,17,-62.466,-53.327,1,275.34,0
2004365,1,0,17,-62.466,-53.327,2,275.67,0
2004366,1,13.429,17,-62.345,-53.335,2,276.7,0
2005001,1,8.532,17,-62.269,-53.358,2,276.15,0
2005002,1,11.407,17,-62.167,-53.335,2,277.14,0
2005003,1,0,17,-62.167,-53.335,2,277.44,0
2005004,1,0,17,-62.167,-53.335,2,278.04,0
2005005,1,0,17,-62.167,-53.335,2,279.13,0
2005006,1,0,17,-62.167,-53.335,2,281.13,0
2005007,1,28.815,17,-61.996,-52.919,2,276.64,0
2005008,1,27.935,17,-61.842,-52.496,2,270.93,0
2005009,1,0,17,-61.842,-52.496,2,274.32,0
2005010,1,26.247,17,-61.671,-52.151,2,257.23,0
2005011,1,0,17,-61.671,-52.151,2,262.12,0
2005012,1,29.166,17,-61.687,-51.598,2,241.45,0
2005013,1,0,17,-61.687,-51.598,2,245.6,0
2005014,1,22.545,17,-61.521,-51.352,2,250.18,0
2005015,1,18.66,17,-61.377,-51.171,2,262.2,0
2005016,1,20.985,17,-61.188,-51.169,2,273.57,0
2005017,1,17.204,17,-61.085,-51.409,2,272.74,0
2005018,1,12.767,17,-61.04,-51.628,2,276.6,0
2005019,1,20.572,17,-61.014,-52.007,2,280.26,0
2005020,1,10.354,17,-61.029,-52.197,2,308.45,0
2005021,1,16.71,17,-61.049,-52.505,2,311.67,0
2005022,1,20.763,17,-61.091,-52.881,2,314.7,0
2005023,1,30.688,18,-61.159,-53.436,2,347.07,0
2005024,1,2.466,17,-61.177,-53.463,2,349.32,0
2005025,1,0,17,-61.177,-53.463,2,351.28,0
2005026,1,20.475,17,-61.128,-53.831,2,352.36,0
2005027,1,13.124,17,-61.037,-53.675,2,352.86,0
2005028,1,15.236,17,-60.984,-53.415,2,353.69,0
2005029,1,30.787,17,-60.834,-52.934,2,354.63,0
2005030,1,22.554,17,-60.713,-52.6,2,354.1,0
2005031,1,11.308,17,-60.651,-52.436,2,352.57,0
2005032,1,0,17,-60.651,-52.436,2,358.12,0
2005033,1,20.091,17,-60.493,-52.256,2,364.06,0
2005034,1,11.36,17,-60.442,-52.435,2,360.86,0
2005035,1,0,17,-60.442,-52.435,2,352.48,0
2005036,1,17.096,17,-60.346,-52.681,2,347.81,0
2005037,1,0,17,-60.346,-52.681,2,350.75,0
2005038,1,15.57,17,-60.282,-52.429,2,345.37,0
2005039,1,0,17,-60.282,-52.429,2,338.84,0
2005040,1,25.139,17,-60.223,-51.988,2,331.78,0
2005041,1,25.175,17,-60.165,-51.548,2,320.65,0
2005042,1,0,17,-60.165,-51.548,2,324.34,0
2005043,1,66.972,17,-59.731,-50.711,2,316.83,0
2005044,1,95.373,19,-58.873,-50.646,1,305.21,0
2005045,1,10.125,17,-58.939,-50.524,2,269.67,0
2005046,1,34.061,17,-58.634,-50.585,2,262.58,0
2005047,1,31.568,17,-58.364,-50.756,2,256.05,0
2005048,1,45.964,17,-58.06,-50.225,2,217.16,0
2005049,1,34.119,17,-58.046,-49.645,2,207.43,0
2005050,1,24.406,17,-57.894,-49.345,2,196.88,0
2005051,1,30.408,17,-57.685,-49.013,2,194.52,0
2005052,1,53.085,17,-57.572,-48.146,2,192.76,0
2005053,1,36.843,17,-57.24,-48.135,2,185.67,0
2005054,1,54.576,17,-57.236,-47.227,2,184.69,0
2005055,1,41.564,17,-56.879,-47.016,2,184.87,0
2005056,1,67.524,17,-57.449,-46.625,2,179.74,0
2005057,1,15.654,17,-57.374,-46.404,2,180.82,0
2005058,1,33.112,17,-57.226,-45.925,2,173.66,0
2005059,1,27.863,17,-57.031,-45.633,2,170.59,0
2005060,1,36.99,17,-56.808,-45.181,2,179.91,0
2005061,1,17.158,17,-56.654,-45.209,2,184.84,0
2005062,1,9.854,17,-56.568,-45.166,2,203.04,0
2005063,1,26.367,17,-56.364,-45.384,2,210.48,0
2005064,1,14.275,17,-56.249,-45.489,2,232.87,0
2005065,1,26.012,17,-56.079,-45.778,2,242.93,0
2005066,1,0,17,-56.079,-45.778,2,272.11,0
2005067,1,12.414,17,-55.968,-45.802,2,297.98,0
2005068,1,20.91,17,-55.783,-45.861,2,310.75,0
2005069,1,19.802,17,-55.634,-46.036,2,336.88,0
2005070,1,17.505,17,-55.477,-46.046,2,364.15,0
2005071,1,22.15,17,-55.28,-46.104,2,391.42,0
2005072,1,15.339,17,-55.142,-46.105,2,418.69,0
2005073,1,0,17,-55.142,-46.105,2,445.96,0
2005074,1,18.299,17,-55.01,-45.933,2,473.23,0
2005075,1,37.481,17,-54.991,-45.345,2,500.5,0
2005076,1,42.158,17,-54.856,-44.728,2,527.77,0
2005077,1,37.858,17,-54.708,-44.196,2,555.04,0
2005078,1,23.868,17,-54.547,-43.948,2,582.31,0
2005079,1,35.421,17,-54.231,-43.876,2,609.58,0
2005080,1,31.284,17,-53.99,-44.123,2,636.85,0
2005081,1,40.509,17,-53.73,-44.558,2,664.12,0
