date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2011226,0,0,3,-66.26,143.56,1,1087.88,-0.0019
2011227,1,0.414,3,-66.257,143.566,1,1059.83,0.0244
2011228,1,0.366,3,-66.255,143.573,1,1031.78,0.0346
2011229,1,0.32,3,-66.253,143.578,1,1003.72,0.0331
2011230,1,0.272,3,-66.252,143.583,1,975.67,0.0244
2011231,1,0.203,3,-66.251,143.587,0,947.61,0.0152
2011232,1,0.126,3,-66.25,143.589,0,919.56,0.0004
2011233,1,0.046,3,-66.25,143.59,0,891.51,0.0064
2011234,1,0.067,3,-66.251,143.59,0,863.45,0.0023
2011235,1,0.155,3,-66.252,143.59,1,835.4,-0.0034
2011236,1,0.211,3,-66.254,143.59,1,807.34,0
2011237,1,0.244,3,-66.256,143.59,1,779.29,0
2011238,1,0.211,3,-66.258,143.59,1,751.24,0
2011239,1,0.155,3,-66.259,143.59,1,719.06,0
2011240,1,0.067,3,-66.26,143.59,1,684.38,0
2011241,1,0,3,-66.26,143.59,1,654.34,0
2011242,1,0,3,-66.26,143.59,1,626.18,0
2011243,1,0,3,-66.26,143.59,1,596.12,0
2011244,1,0,3,-66.26,143.59,1,566.11,0
2011245,1,0,3,-66.26,143.59,1,537.78,0
2011246,1,0,3,-66.26,143.59,1,500.13,0
2011247,1,0,3,-66.26,143.59,1,463.89,0
2011248,1,0.086,3,-66.259,143.589,1,428.87,0
2011249,1,0.214,3,-66.258,143.586,1,398.03,0
2011250,1,0.301,3,-66.256,143.581,1,357.36,0
2011251,1,0.347,3,-66.254,143.575,1,328,0
2011252,1,0.334,3,-66.252,143.569,1,299.17,0
2011253,1,0.28,3,-66.251,143.564,1,270.77,0
2011254,1,0.199,3,-66.25,143.56,1,236.67,0
2011255,1,0.161,3,-66.25,143.556,1,211.82,0
2011256,1,0.174,3,-66.25,143.553,1,202.18,0
2011257,1,0.165,3,-66.25,143.549,1,177.33,0
2011258,1,0.152,3,-66.25,143.545,1,161.19,0
2011259,1,0.125,3,-66.25,143.543,1,138.45,0
2011260,1,0.085,3,-66.25,143.541,1,117.33,0
2011261,1,0.031,3,-66.25,143.54,1,97.57,0
2011262,1,0.068,3,-66.249,143.54,1,86.3,0
2011263,1,0.159,3,-66.248,143.541,1,69.1,0
2011264,1,0.219,3,-66.246,143.542,1,63.55,0
2011265,1,0.253,3,-66.244,143.544,1,60.5,0
2011266,1,0.227,3,-66.242,143.546,1,49.9,0
2011267,1,0.182,3,-66.241,143.548,1,39.87,0
