date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2015295,0,0,4,-66.503,142.103,1,10,0
2015296,1,0,4,-66.503,142.103,1,10,0
2015297,1,0,4,-66.503,142.103,1,10,0
2015298,1,0,4,-66.503,142.103,0,10,0
2015299,1,10.141,4,-66.436,141.947,0,10,0
2015300,1,0,4,-66.436,141.947,0,10,0
2015301,1,4.55,4,-66.471,141.892,0,10,0
2015302,1,0,4,-66.471,141.892,0,10,0
2015303,1,0,4,-66.471,141.892,1,10,0
2015304,1,7.069,4,-66.411,141.949,0,10,0
2015305,1,5.378,4,-66.363,141.954,0,10,0
2015306,1,6.195,4,-66.307,141.937,0,10,0
2015307,1,8.867,4,-66.228,141.966,1,10,0
2015308,1,7.866,4,-66.204,141.802,0,10,0
2015309,1,0,4,-66.204,141.802,0,10,0
2015310,1,0,4,-66.204,141.802,0,10,0
2015311,1,0,4,-66.204,141.802,0,10,0
2015312,1,15.51,4,-66.078,141.651,0,10,0
2015313,1,19.394,5,-65.967,141.319,1,10,0
2015314,1,12.57,4,-65.908,141.082,1,10.14,0
2015315,1,0,4,-65.908,141.082,1,10.22,0
2015316,1,7.954,4,-65.839,141.031,1,10.52,0
2015317,1,9.774,4,-65.784,140.863,1,11.47,0
2015318,1,6.025,4,-65.768,140.737,1,13.02,0
2015319,1,5.531,4,-65.729,140.662,1,17.44,0
2015320,1,0,4,-65.729,140.662,1,24.49,0
2015321,1,0,4,-65.729,140.662,1,25.79,0
2015322,1,14.819,4,-65.652,140.397,1,42.05,0
2015323,1,0,4,-65.652,140.397,1,66.06,0
2015324,1,8.152,4,-65.613,140.246,1,93.52,0
2015325,1,0,4,-65.613,140.246,1,125.61,0
2015326,1,0,4,-65.613,140.246,1,161.27,0
2015327,1,12.143,4,-65.589,139.988,1,201.94,0
2015328,1,11.042,4,-65.51,139.84,1,245.72,0
2015329,1,0,4,-65.51,139.84,1,294.84,0
2015330,1,0,4,-65.51,139.84,1,347.63,0
2015331,1,0,4,-65.51,139.84,1,407.12,0
2015332,1,0,4,-65.51,139.84,1,470.6,0
2015333,1,0,4,-65.51,139.84,1,534.08,0
2015334,1,0,5,-65.51,139.84,1,604.35,0
2015335,1,0,4,-65.51,139.84,1,680.37,0
2015336,1,0,4,-65.51,139.84,1,759.17,0
2015337,1,0,4,-65.51,139.84,1,843.91,0
2015338,1,10.897,4,-65.483,139.613,1,931.64,0
2015339,1,0,4,-65.483,139.613,1,1024.2,0
2015340,1,0,4,-65.483,139.613,1,1118.33,0
2015341,1,2.095,5,-65.465,139.6,1,1215.97,0
2015342,1,2.106,4,-65.446,139.587,1,1317.42,0
2015343,1,0,4,-65.446,139.587,1,1416.76,0
2015344,1,0,4,-65.446,139.587,1,1504.18,0
2015345,1,0,4,-65.446,139.587,1,1589.26,0
2015346,1,0,4,-65.446,139.587,1,1688.32,0
