date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2000125,0,0,17,-78.025,-175.924,1,3748.01,-0.0467
2000126,1,12.752,17,-77.95,-176.34,1,3788.39,0.0207
2000127,1,10.08,17,-77.985,-175.938,1,3828.77,0.0495
2000128,1,9.018,17,-77.99,-176.328,1,3869.15,0.0512
2000129,1,0,17,-77.99,-176.328,1,3909.54,0.0373
2000130,1,0,17,-77.99,-176.328,1,3949.92,0.0423
2000131,1,0,17,-77.99,-176.328,1,3990.3,0.0511
2000132,1,0,17,-77.99,-176.328,1,4030.68,-0.0225
2000133,1,10.084,17,-77.912,-176.546,1,4071.07,-0.0029
2000134,1,6.377,17,-77.873,-176.751,1,4111.45,-0.007
2000135,1,0,17,-77.873,-176.751,1,4151.83,0.0531
2000136,1,4.508,17,-77.876,-176.944,1,4192.21,0.0311
2000137,1,4.508,17,-77.873,-176.751,1,4232.6,0.0398
2000138,1,4.501,17,-77.833,-176.762,1,4271.76,0.0568
2000139,1,4.508,17,-77.831,-176.569,1,4315.1,0.0514
2000140,1,6.376,17,-77.792,-176.773,1,4356.08,0.0097
2000141,1,6.376,17,-77.831,-176.569,1,4397.06,-0.0162
2000142,1,12.753,17,-77.754,-176.975,1,4434.22,-0.037
2000143,1,10.076,17,-77.717,-177.366,1,4469.62,-0.0078
2000144,1,9.013,17,-77.713,-176.985,1,4512.31,-0.009
2000145,1,4.511,17,-77.673,-176.995,1,4551.62,-0.0179
2000146,1,22.531,17,-77.559,-177.777,1,4586.63,-0.0022
2000147,1,6.374,17,-77.519,-177.972,1,4619.79,-0.0084
2000148,1,4.504,17,-77.518,-177.784,1,4645.67,-0.0123
2000149,1,17.325,19,-77.568,-177.099,1,4673.79,-0.0104
2000150,1,22.258,17,-77.437,-177.799,1,4704.61,-0.0008
2000151,1,9.006,17,-77.356,-177.813,1,4734.38,0.0094
2000152,1,0,17,-77.356,-177.813,1,4762.91,0.0055
2000153,1,9.009,17,-77.358,-178.184,1,4779.17,0.0075
2000154,1,0,17,-77.358,-178.184,1,4803.77,0.0024
2000155,1,4.504,17,-77.36,-178.369,1,4825.25,-0.0015
2000156,1,9.003,17,-77.279,-178.38,1,4839.98,-0.0105
2000157,1,12.742,17,-77.199,-178.756,1,4854.57,-0.0137
2000158,1,9.001,17,-77.118,-178.764,1,4865.1,-0.0111
2000159,1,4.503,17,-77.119,-178.946,1,4874.88,-0.0068
2000160,1,4.506,17,-77.078,-178.949,1,4884.22,0.0005
2000161,1,6.367,17,-77.039,-179.133,1,4890.91,0.0015
2000162,1,4.495,17,-76.998,-179.136,1,4893.99,-0.0014
2000163,1,28.71,19,-77.149,-178.198,1,4899.01,-0.0003
2000164,1,1.693,19,-77.14,-178.252,1,4903.12,-0.0032
2000165,1,4.526,19,-77.13,-178.43,1,4906.78,-0.0033
2000166,1,5.004,19,-77.121,-178.628,1,4911.14,-0.0013
2000167,1,1.107,19,-77.113,-178.652,1,4913.93,0.0039
2000168,1,3.004,19,-77.126,-178.757,1,4915.68,0.0037
2000169,1,5.109,19,-77.101,-178.931,1,4913.11,0.0093
2000170,1,4.475,19,-77.14,-178.978,1,4909.51,0.0054
2000171,1,3.578,19,-77.12,-179.091,1,4905.78,0.0154
2000172,1,2.893,19,-77.14,-179.017,1,4900.34,0.0102
2000173,1,3.427,19,-77.12,-179.122,1,4896.23,0.0158
2000174,1,2.272,19,-77.14,-179.134,1,4892.73,0.0113
2000175,1,2.269,19,-77.12,-179.144,1,4890.1,0.0135
2000176,1,2.27,19,-77.14,-179.156,1,4886.67,0.0043
2000177,1,0.322,19,-77.14,-179.169,1,4881.06,0.0052
2000178,1,0.337,19,-77.14,-179.183,1,4877.82,-0.0118
2000179,1,0.316,19,-77.14,-179.195,1,4872.15,0.0032
2000180,1,3.405,19,-77.161,-179.299,1,4866.43,0.0027
2000181,1,0.321,19,-77.161,-179.312,1,4860.12,0.0142
2000182,1,2.592,19,-77.16,-179.417,1,4855.13,0.0107
2000183,1,0.388,19,-77.16,-179.433,1,4849.51,0.0172
2000184,1,2.294,19,-77.181,-179.452,1,4843.75,0.006
2000185,1,23.542,17,-77.161,179.597,1,4838.23,0.0001
2000186,1,0,17,-77.161,179.597,1,4834.22,0.0053
2000187,1,4.503,17,-77.161,179.414,1,4829.07,0.0267
2000188,1,0,17,-77.161,179.414,1,4820.5,0.0255
2000189,1,4.503,17,-77.161,179.232,1,4811.74,0.0274
2000190,1,0,17,-77.161,179.232,1,4802.91,0.0275
2000191,1,4.506,17,-77.201,179.229,1,4794.39,0.021
2000192,1,0,17,-77.201,179.229,1,4786.49,0.0131
2000193,1,9.006,17,-77.2,178.863,1,4778.15,0.0164
2000194,1,0,17,-77.2,178.863,1,4769.77,0.0302
2000195,1,0,17,-77.2,178.863,1,4764.06,0.037
2000196,1,0,17,-77.2,178.863,1,4763.27,0.0317
2000197,1,0,17,-77.2,178.863,1,4762.09,0.0242
2000198,1,20.907,19,-77.15,179.682,1,4761.16,0.0242
2000199,1,2.173,19,-77.149,179.593,1,4761.31,0.0317
2000200,1,0.236,19,-77.149,179.603,1,4761.1,0.0299
2000201,1,2.288,19,-77.129,179.619,1,4760.81,0.0316
2000202,1,7.195,19,-77.13,179.91,1,4762.31,0.0248
2000203,1,0.466,19,-77.13,179.929,1,4763.98,0.0212
2000204,1,2.879,19,-77.11,179.858,1,4766.25,0.0128
2000205,1,0.439,19,-77.11,179.876,1,4772,0.0052
