date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2014250,0,0,5,-65.936,51.539,0,-24.82,0
2014251,1,0,5,-65.936,51.539,0,-14.78,0
2014252,1,0,5,-65.936,51.539,0,-4.73,0
2014253,1,0,5,-65.936,51.539,0,5.32,0
2014254,1,0,5,-65.936,51.539,0,15.37,0
2014255,1,6.981,6,-65.873,51.545,1,25.42,0
2014256,1,0,7,-65.873,51.545,1,35.47,0
2014257,1,0,7,-65.873,51.545,1,45.52,0
2014258,1,0,7,-65.873,51.545,1,55.57,0
2014259,1,0,7,-65.873,51.545,1,65.62,0
2014260,1,0,7,-65.873,51.545,1,75.67,0
2014261,1,0,7,-65.873,51.545,1,85.71,0
2014262,1,0,6,-65.873,51.545,1,95.76,0
2014263,1,0,7,-65.873,51.545,1,107.05,0
2014264,1,0,7,-65.873,51.545,1,119.72,0
2014265,1,0,7,-65.873,51.545,1,142.89,0
2014266,1,0,7,-65.873,51.545,1,170.91,0
2014267,1,0,7,-65.873,51.545,1,197.63,0
2014268,1,0,7,-65.873,51.545,1,224.37,0
2014269,1,0,6,-65.873,51.545,1,254.88,0
2014270,1,0,7,-65.873,51.545,1,274.1,0
2014271,1,0,7,-65.873,51.545,1,293.54,0
2014272,1,0,7,-65.873,51.545,1,314.85,0
2014273,1,0,7,-65.873,51.545,1,337.13,0
2014274,1,0,7,-65.873,51.545,1,358.71,0
2014275,1,0,7,-65.873,51.545,1,376.64,0
2014276,1,0,6,-65.873,51.545,1,396.87,0
2014277,1,0,7,-65.873,51.545,1,423.41,0
2014278,1,0,7,-65.873,51.545,1,443.4,0
2014279,1,0,7,-65.873,51.545,1,470,0
2014280,1,0,7,-65.873,51.545,1,491.58,0
2014281,1,0,7,-65.873,51.545,1,512.27,0
2014282,1,0,7,-65.873,51.545,1,535.91,0
2014283,1,0,6,-65.873,51.545,1,561.89,0
2014284,1,0,7,-65.873,51.545,1,582.54,0
2014285,1,0,7,-65.873,51.545,1,603.01,0
2014286,1,0,7,-65.873,51.545,1,625.12,0
2014287,1,0,7,-65.873,51.545,1,638.48,0
2014288,1,0,7,-65.873,51.545,1,659.09,0
2014289,1,0,7,-65.873,51.545,1,682.29,0
2014290,1,0,6,-65.873,51.545,1,692.09,0
2014291,1,0,7,-65.873,51.545,1,699.79,0
2014292,1,0,7,-65.873,51.545,1,704.88,0
2014293,1,0,7,-65.873,51.545,1,711.25,0
2014294,1,0,7,-65.873,51.545,1,704.42,0
2014295,1,0,7,-65.873,51.545,1,716.76,0
2014296,1,0,7,-65.873,51.545,1,720.21,0
2014297,1,0,6,-65.873,51.545,1,721.96,0
2014298,1,0,7,-65.873,51.545,1,722.94,0
2014299,1,0,7,-65.873,51.545,1,722.75,0
2014300,1,0,7,-65.873,51.545,1,721.68,0
2014301,1,0,7,-65.873,51.545,1,718.87,0
2014302,1,0,7,-65.873,51.545,1,712.98,0
2014303,1,0,7,-65.873,51.545,1,707.47,0
2014304,1,0,6,-65.873,51.545,1,699.4,0
2014305,1,0,7,-65.873,51.545,1,689.2,0
2014306,1,0,7,-65.873,51.545,1,678.28,0
2014307,1,0,7,-65.873,51.545,1,668.12,0
2014308,1,0,7,-65.873,51.545,1,655.57,0
2014309,1,0,7,-65.873,51.545,1,640.72,0
2014310,1,0,7,-65.873,51.545,1,625.76,0
2014311,1,0,6,-65.873,51.545,1,608.65,0
2014312,1,0,7,-65.873,51.545,1,601.11,0
2014313,1,3.836,7,-65.907,51.526,1,585.85,0
2014314,1,0,7,-65.907,51.526,1,570.45,0
2014315,1,0,7,-65.907,51.526,1,560.5,0
2014316,1,0,7,-65.907,51.526,1,551.93,0
2014317,1,0,7,-65.907,51.526,1,550.35,0
2014318,1,0,6,-65.907,51.526,1,550.56,0
2014319,1,0,7,-65.907,51.526,1,564.04,0
2014320,1,1.728,7,-65.893,51.507,1,572.08,0
2014321,1,0,7,-65.893,51.507,1,590.37,0
2014322,1,0,7,-65.893,51.507,1,610.33,0
2014323,1,0,7,-65.893,51.507,1,632.75,0
2014324,1,0,7,-65.893,51.507,1,658.21,0
2014325,1,0,6,-65.893,51.507,1,686.5,0
2014326,1,9.415,5,-65.976,51.465,0,715.58,0
2014327,1,0,5,-65.976,51.465,0,744.32,0
2014328,1,0,5,-65.976,51.465,0,778.11,0
2014329,1,0,5,-65.976,51.465,0,810.5,0
2014330,1,0,5,-65.976,51.465,0,842.76,0
2014331,1,0,5,-65.976,51.465,0,875.83,0
2014332,1,0,5,-65.976,51.465,0,911.38,0
2014333,1,0,5,-65.976,51.465,0,949.3,0
2014334,1,0,5,-65.976,51.465,0,996.08,0
2014335,1,0,5,-65.976,51.465,0,1047.15,0
2014336,1,0,5,-65.976,51.465,0,1099.14,0
2014337,1,0,5,-65.976,51.465,0,1150.11,0
2014338,1,0,5,-65.976,51.465,0,1206.48,0
2014339,1,9.415,6,-65.893,51.507,1,1259.03,0
2014340,1,0,7,-65.893,51.507,1,1319.31,-0.0003
2014341,1,0,7,-65.893,51.507,1,1375.33,0.0651
2014342,1,0,7,-65.893,51.507,1,1430.05,-0.066
2014343,1,0,7,-65.893,51.507,1,1483.92,-0.1041
2014344,1,0,7,-65.893,51.507,1,1535.84,-0.1225
2014345,1,0,6,-65.893,51.507,1,1591.18,-0.1214
2014346,1,0.022,7,-65.893,51.507,1,1643.95,-0.1006
2014347,1,0.067,7,-65.894,51.507,1,1695.24,-0.0602
2014348,1,0.089,7,-65.895,51.507,1,1745.14,-0.0022
2014349,1,0.1,7,-65.896,51.507,1,1804.14,0.0832
2014350,1,0.1,7,-65.896,51.507,1,1864.65,-0.0208
2014351,1,0.089,7,-65.897,51.507,1,1928.31,0.0001
2014352,1,0.067,7,-65.898,51.507,1,1995.7,-0.0014
2014353,1,0.022,6,-65.898,51.507,1,2061.51,0.0023
2014354,1,0,7,-65.898,51.507,1,2132.21,0.0365
2014355,1,0,7,-65.898,51.507,1,2205.14,0.0042
2014356,1,0,7,-65.898,51.507,1,2309,-0.0122
2014357,1,0,7,-65.898,51.507,1,2384.49,-0.0195
2014358,1,0,7,-65.898,51.507,1,2458.04,-0.0296
2014359,1,0,7,-65.898,51.507,1,2523.96,-0.0347
2014360,1,0,6,-65.898,51.507,1,2615.34,-0.0305
2014361,1,0,7,-65.898,51.507,1,2675.67,-0.0113
2014362,1,0,7,-65.898,51.507,1,2734.48,0.0242
2014363,1,0,7,-65.898,51.507,1,2787.39,-0.0041
2014364,1,0,7,-65.898,51.507,1,2839.09,0
2014365,1,0,7,-65.898,51.507,1,2882.05,0
2015001,1,0,7,-65.898,51.507,1,2924.36,0
2015002,1,0,6,-65.898,51.507,1,2975.27,0
2015003,1,0,7,-65.898,51.507,1,2974.82,0
2015004,1,0,7,-65.898,51.507,1,3002.56,0
2015005,1,0,7,-65.898,51.507,1,2998.6,0
2015006,1,0,7,-65.898,51.507,1,3020.26,0
2015007,1,0,7,-65.898,51.507,1,3003.24,0
2015008,1,0,7,-65.898,51.507,1,3017.97,0
2015009,1,0,6,-65.898,51.507,1,3018.81,0
2015010,1,0,7,-65.898,51.507,1,2989.28,0
2015011,1,0,7,-65.898,51.507,1,2953.72,-0.0234
2015012,1,0,7,-65.898,51.507,1,2904.29,0.0782
2015013,1,0,7,-65.898,51.507,1,2851.67,0.0017
2015014,1,0,7,-65.898,51.507,1,2792.26,-0.0562
2015015,1,0,7,-65.898,51.507,1,2754.7,-0.0954
2015016,1,0,6,-65.898,51.507,1,2670.56,-0.1159
2015017,1,0.063,7,-65.898,51.509,1,2604.76,-0.1176
2015018,1,0.161,7,-65.898,51.512,1,2535.11,-0.1007
2015019,1,0.222,7,-65.898,51.517,1,2462.98,-0.0651
2015020,1,0.24,7,-65.898,51.522,1,2359.63,0.0626
2015021,1,0.222,7,-65.898,51.527,1,2287.32,0
2015022,1,0.161,7,-65.898,51.531,1,2211.66,-0.0774
