date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2000226,0,0,3,-76.5,-179.2,0,1267.02,0
2000227,1,5.255,3,-76.456,-179.272,0,1291.26,0
2000228,1,4.958,3,-76.414,-179.342,0,1315.49,0
2000229,1,4.485,3,-76.377,-179.409,0,1339.73,0
2000230,1,3.85,3,-76.346,-179.471,1,1363.96,0
2000231,1,5.25,19,-76.351,-179.272,1,1388.2,0
2000232,1,5.03,19,-76.311,-179.362,1,1412.44,-0.0086
2000233,1,0.513,19,-76.308,-179.377,2,1436.67,0.0057
2000234,1,5.912,17,-76.316,-179.155,2,1460.91,0.016
2000235,1,6.442,17,-76.309,-179.399,2,1485.14,0.0221
2000236,1,0,17,-76.309,-179.399,2,1509.38,0.0241
2000237,1,0,17,-76.309,-179.399,2,1533.61,0.0221
2000238,1,0,17,-76.309,-179.399,1,1557.85,0.016
2000239,1,0,17,-76.309,-179.399,1,1607.65,0.0057
2000240,1,0,17,-76.309,-179.399,1,1682.77,-0.0086
2000241,1,0,17,-76.309,-179.399,1,1766.17,0
2000242,1,0,17,-76.309,-179.399,1,1843.39,0
2000243,1,0,17,-76.309,-179.399,2,1915.29,0
2000244,1,0,17,-76.309,-179.399,1,1992.31,0
2000245,1,0,17,-76.309,-179.399,1,2076.02,-0.0049
2000246,1,0,17,-76.309,-179.399,1,2138.59,0.0032
2000247,1,16.955,19,-76.455,-179.599,1,2213.66,0.009
2000248,1,16.955,17,-76.309,-179.399,1,2290.87,0.0125
2000249,1,8.243,17,-76.247,-179.567,1,2321.08,0.0207
2000250,1,0,17,-76.247,-179.567,1,2348.96,-0.0124
2000251,1,0,17,-76.247,-179.567,1,2378.66,0.016
2000252,1,0,17,-76.247,-179.567,1,2406.97,0.016
2000253,1,0,17,-76.247,-179.567,1,2435.06,0.0145
2000254,1,0,17,-76.247,-179.567,1,2462.72,0.0258
2000255,1,0,17,-76.247,-179.567,1,2487.5,0.0332
2000256,1,0,17,-76.247,-179.567,1,2515.82,0.0302
2000257,1,0,17,-76.247,-179.567,2,2541.31,0.0303
2000258,1,0,17,-76.247,-179.567,2,2567.56,-0.0001
2000259,1,11.993,17,-76.309,-179.939,2,2590.58,0.0284
2000260,1,0,17,-76.309,-179.939,2,2602.69,0.014
2000261,1,5.934,19,-76.355,-179.82,2,2614.79,0.0086
2000262,1,5.934,17,-76.309,-179.939,2,2627.96,0.0043
2000263,1,0,17,-76.309,-179.939,2,2593.75,0.0024
2000264,1,0,17,-76.309,-179.939,2,2580.67,-0.0036
2000265,1,12.617,17,-76.418,179.921,1,2540.63,0
2000266,1,0,17,-76.418,179.921,1,2474.92,0
2000267,1,0,17,-76.418,179.921,1,2418.88,0
2000268,1,0,17,-76.418,179.921,1,2350.91,0
2000269,1,0,17,-76.418,179.921,2,2289.35,0
2000270,1,0,17,-76.418,179.921,2,2216.43,0
2000271,1,4.355,17,-76.443,179.793,2,2161.2,0
2000272,1,0,17,-76.443,179.793,2,2101.36,0
2000273,1,0,17,-76.443,179.793,2,2046.19,0
2000274,1,0,17,-76.443,179.793,1,2036.05,0
2000275,1,14.156,19,-76.328,-179.971,1,2021.03,0
2000276,1,0.71,19,-76.322,-179.971,1,2014.45,0
2000277,1,0.949,19,-76.314,-179.971,1,2029.52,0.003
2000278,1,7.629,19,-76.245,-179.973,1,2052.47,-0.001
2000279,1,1.049,19,-76.235,-179.973,2,2057.84,-0.0063
2000280,1,6.164,19,-76.18,-179.973,2,2064.62,-0.0096
2000281,1,0.638,19,-76.174,-179.973,2,2083.81,-0.0111
2000282,1,0.239,19,-76.172,-179.973,2,2097.44,-0.0106
2000283,1,3.674,17,-76.144,179.954,2,2105.34,-0.0082
2000284,1,0,17,-76.144,179.954,2,2131.23,0.0047
2000285,1,0,17,-76.144,179.954,2,2162.33,0.0079
2000286,1,0,17,-76.144,179.954,2,2186.8,-0.0311
2000287,1,0,17,-76.144,179.954,2,2218.14,-0.0461
2000288,1,0,17,-76.144,179.954,2,2299.32,-0.0248
2000289,1,0,17,-76.144,179.954,2,2308.12,-0.0206
2000290,1,0,17,-76.144,179.954,2,2311.09,-0.0227
2000291,1,0,17,-76.144,179.954,2,2326.72,-0.0031
2000292,1,0,17,-76.144,179.954,2,2336.2,0.0274
2000293,1,0,17,-76.144,179.954,2,2356.1,0.0267
2000294,1,0,17,-76.144,179.954,2,2376.11,0.0009
2000295,1,0,17,-76.144,179.954,2,2397.86,-0.0018
2000296,1,13.234,19,-76.262,-179.97,2,2404.35,0.0041
2000297,1,0.341,19,-76.262,-179.983,2,2396.17,0.0018
2000298,1,0.888,19,-76.262,179.984,2,2386.02,-0.0033
2000299,1,1.225,19,-76.262,179.937,2,2373.19,0.004
2000300,1,1.356,19,-76.262,179.886,2,2369.61,0.0223
2000301,1,1.279,19,-76.262,179.837,2,2356.71,0.0277
2000302,1,2.553,19,-76.262,179.934,2,2327.82,0.0307
