date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2000226,0,0,3,-76.8,177.9,0,10,0
2000227,1,14.115,3,-76.677,177.76,0,10,0
2000228,1,13.904,3,-76.556,177.623,0,10,0
2000229,1,13.623,3,-76.437,177.489,0,10,0
2000230,1,13.271,3,-76.321,177.359,0,10,0
2000231,1,12.839,3,-76.21,177.233,0,10,0
2000232,1,12.324,3,-76.102,177.113,0,10,0
2000233,1,11.75,3,-76,177,0,10,0
2000239,6,71.737,17,-75.356,176.767,1,10,0
2000240,1,8.969,17,-75.275,176.785,1,10,0
2000241,1,54.18,17,-75.042,175.11,2,10,0
2000242,1,12.681,17,-74.955,174.827,2,10,0
2000243,1,4.479,17,-74.915,174.841,2,10,0
2000244,1,4.479,17,-74.874,174.855,2,10,0
2000245,1,10.029,17,-74.797,175.036,2,10,0
2000246,1,4.478,17,-74.757,175.049,2,10,0
2000247,1,9.8,19,-74.717,175.348,2,10,0
2000248,1,26.751,17,-74.501,174.942,2,10,0
2000249,1,7.077,17,-74.443,175.037,2,10,0
2000250,1,11.193,17,-74.368,175.287,2,10,0
2000251,1,18.049,17,-74.205,175.262,2,10.59,0
2000252,1,18.45,17,-74.041,175.164,2,10.81,0
2000253,1,11.181,17,-74.094,174.852,2,12.47,0
2000254,1,13.598,17,-73.976,174.964,2,14.42,0
2000255,1,2.228,17,-73.996,174.958,2,15.45,0
2000256,1,13.048,17,-74.091,174.706,2,19,0
2000257,1,8.949,17,-74.01,174.733,2,20.57,0
2000258,1,6.324,17,-73.974,174.892,2,23.58,0
2000259,1,4.998,17,-73.95,174.753,2,25.66,0
2000260,1,2.229,17,-73.97,174.746,2,33.22,0
2000261,1,8.913,18,-73.891,174.692,2,44.15,0
2000262,1,7.369,17,-73.826,174.649,2,56.14,0
2000263,1,14.149,17,-73.942,174.463,2,72.37,0
2000264,1,11.41,17,-73.84,174.426,2,89.66,0
2000265,1,15.807,17,-73.698,174.403,2,94.53,0
2000266,1,8.931,17,-73.618,174.431,2,116.13,0
2000267,1,24.985,17,-73.828,174.721,2,140.04,0
2000268,1,65.971,17,-73.279,173.911,2,148.66,0
2000269,1,36.129,17,-72.955,174.017,2,175.62,0
2000270,1,7.013,17,-72.942,174.228,2,184.72,0
2000271,1,22.965,17,-72.768,173.85,2,213.53,0
2000272,1,14.812,17,-72.9,173.92,2,242.65,0
2000273,1,21.665,17,-72.718,173.676,2,273.11,0
2000274,1,2.785,17,-72.738,173.729,2,303.66,0
2000275,1,4.773,17,-72.696,173.692,2,318.4,0
2000276,1,15.482,17,-72.557,173.736,2,348.6,0
2000277,1,55.054,17,-72.164,172.74,1,380.22,0
2000278,1,14.997,17,-72.06,172.459,1,410.41,0
2000279,1,9.351,17,-72.007,172.246,1,441.95,0
2000280,1,20.001,17,-71.83,172.14,1,484.65,0
2000281,1,13.676,17,-71.707,172.092,1,511.88,0
2000282,1,20.324,18,-71.542,171.845,1,540.86,0
2000283,1,19.696,17,-71.66,172.264,1,571.33,0
2000284,1,11.542,17,-71.611,171.972,1,606.14,0
2000285,1,22.12,17,-71.491,171.471,1,634.9,0
2000286,1,20.004,17,-71.34,171.162,1,661.11,0
2000287,1,8.935,17,-71.26,171.134,1,684.11,0
2000288,1,7.947,17,-71.196,171.032,1,703.54,0
2000289,1,0.679,17,-71.202,171.033,1,721.92,0
2000290,1,11.889,17,-71.137,170.769,1,753.28,0
2000291,1,9.347,17,-71.088,170.559,1,757.28,0
2000292,1,29.03,17,-70.92,169.943,1,766.84,0.1125
2000293,1,12.709,17,-70.805,169.947,1,782.8,-0.1488
2000294,1,17.968,17,-70.659,169.737,1,780.41,-0.098
2000295,1,29.911,17,-70.92,169.943,1,795.01,-0.2579
2000296,1,74.748,18,-70.41,168.612,1,787.36,-0.2454
2000297,1,8.366,19,-70.342,168.518,1,779.27,-0.0899
2000298,1,9.252,19,-70.331,168.273,1,769.98,0.0603
2000299,1,4.536,19,-70.303,168.184,1,760.46,0.2053
2000300,1,27.772,19,-70.108,167.723,1,765.5,0.3451
2000301,1,1.146,19,-70.099,167.709,1,754.25,0.1259
2000302,1,11.328,19,-70.082,167.413,1,741.11,0.1923
2000303,1,2.868,18,-70.058,167.381,1,728.05,-0.0329
2000304,1,7.593,17,-70.072,167.577,1,713.36,-0.0472
2000305,1,10.624,17,-70.074,167.858,1,688.41,0
2000306,1,23.292,17,-69.993,167.291,1,676.05,0
2000307,1,4.658,17,-69.966,167.197,1,664.34,0
2000308,1,4.655,17,-69.976,167.078,1,649.12,0
2000309,1,2.083,17,-69.958,167.09,1,631.04,0
2000310,1,12.147,17,-69.923,167.393,1,614.02,0
2000311,1,0,17,-69.923,167.393,1,597.68,0
2000312,1,7.505,17,-69.899,167.577,1,585.36,0
2000313,1,0,17,-69.899,167.577,2,572.36,0
2000314,1,8.832,17,-69.966,167.702,2,563.9,0
2000315,1,2.082,17,-69.962,167.648,1,557.5,0
2000316,1,4.169,17,-69.999,167.625,1,563.84,0
2000317,1,0.475,18,-69.999,167.612,1,564.85,0
2000318,1,1.334,19,-70.004,167.58,1,578.67,0
2000319,1,0.912,19,-70.008,167.601,1,596.68,0
