date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2001147,0,0,3,-70,167.5,0,4725.65,0.0359
2001156,9,79.906,17,-69.7,165.6,1,4625.39,-0.0488
2001157,1,17.713,17,-69.738,165.153,1,4525.13,-0.0933
2001158,1,8.245,17,-69.738,164.938,1,4424.88,-0.1062
2001159,1,3.992,17,-69.719,164.85,1,4324.62,-0.0965
2001160,1,5.373,17,-69.682,164.76,1,4224.36,-0.074
2001161,1,26.454,19,-69.53,164.235,1,4124.11,-0.0642
2001162,1,19.351,17,-69.659,164.569,1,4023.85,-0.0197
2001163,1,5.975,17,-69.618,164.469,1,3923.59,-0.0248
2001164,1,8.167,17,-69.644,164.27,1,3823.34,-0.038
2001165,1,0,17,-69.644,164.27,1,3723.08,-0.0154
2001166,1,15.846,17,-69.614,163.869,1,3622.82,-0.0054
2001167,1,3.947,17,-69.594,163.783,1,3522.56,-0.0001
2001168,1,11.472,17,-69.554,163.511,1,3436.14,0.0132
2001169,1,0,17,-69.554,163.511,1,3343.37,-0.0038
2001170,1,12.674,17,-69.5,163.223,1,3248.86,0
2001171,1,6.187,17,-69.472,163.085,1,3155.48,0
2001172,1,14.985,17,-69.421,162.729,1,3060.46,0
2001173,1,0,17,-69.421,162.729,1,2964.33,0
2001174,1,14.67,17,-69.384,162.369,1,2867.55,0
2001175,1,15.288,17,-69.314,162.032,1,2769.03,0.0034
2001176,1,15.45,17,-69.273,161.656,1,2666.36,-0.0166
2001177,1,15.654,17,-69.208,161.304,1,2565.69,-0.0031
2001178,1,15.629,17,-69.118,160.999,1,2459.7,0.0219
2001179,1,7.516,17,-69.076,160.849,1,2382.01,0.0545
2001180,1,9.814,17,-69,160.725,1,2307.31,0.0213
2001181,1,0,17,-69,160.725,1,2234.32,0.0294
2001182,1,8.436,17,-68.961,160.542,1,2163.8,0.0293
2001183,1,0,17,-68.961,160.542,1,2094.55,0.021
2001184,1,7.47,17,-68.897,160.481,1,2026.92,-0.0063
2001185,1,0,17,-68.897,160.481,1,1961,0.0051
2001186,1,0,17,-68.897,160.481,1,1887.55,0.0188
2001187,1,0,17,-68.897,160.481,1,1815.51,0.0262
2001188,1,0,17,-68.897,160.481,1,1779.7,-0.0157
2001189,1,0,17,-68.897,160.481,1,1717.81,0
2001190,1,0,17,-68.897,160.481,0,1668.11,0
2001191,1,0,17,-68.897,160.481,0,1612.99,0
2002020,194,404.449,3,-67.1,152,0,1553.85,0
2002021,1,1.582,3,-67.087,152.013,0,1493.82,0
2002022,1,2.162,3,-67.072,152.046,0,1430.38,0
2002023,1,2.666,3,-67.057,152.093,0,1369.07,0
2002024,1,2.955,3,-67.041,152.149,0,1300.86,0
2002025,1,2.979,3,-67.026,152.206,0,1231.13,0
2002026,1,2.759,3,-67.012,152.258,0,1155.14,0
2002027,1,2.262,3,-67,152.3,0,1081.13,0
2002062,35,51.492,3,-66.7,153.2,0,1013.56,0
2002063,1,0,3,-66.7,153.2,0,946,0
2002064,1,0,3,-66.7,153.2,0,882.48,0
2002065,1,0,3,-66.7,153.2,0,819.64,0
2002066,1,0,3,-66.7,153.2,0,758.34,0
2002067,1,0,3,-66.7,153.2,0,696.3,0
2002068,1,0,3,-66.7,153.2,0,634.06,0
2002069,1,0,3,-66.7,153.2,0,571.21,0
2003040,336,1521.174,3,-65,119.2,0,508.37,0
2003068,28,84.444,3,-65,117.4,0,445.4,0
2003096,28,458.191,3,-65.1,107.6,0,383.2,0
2003110,14,286.839,3,-64.9,101.5,0,328.54,0
2003111,1,2.103,3,-64.884,101.476,0,274.64,0
2003112,1,2.28,3,-64.866,101.455,0,229.14,0
2003113,1,2.283,3,-64.847,101.436,0,184.41,0
2003114,1,2.092,3,-64.829,101.421,0,148.09,0
2003115,1,1.738,3,-64.814,101.41,0,112.84,0
2003116,1,1.181,3,-64.804,101.403,0,85.96,0
2003117,1,0.438,3,-64.8,101.4,0,60.16,0
2003118,1,1.232,3,-64.811,101.4,0,42.63,0
2003119,1,3.175,3,-64.84,101.4,0,26.07,0
2003120,1,4.33,3,-64.879,101.4,0,17.66,0
2003121,1,4.729,3,-64.921,101.4,0,10,0
2003122,1,4.33,3,-64.96,101.4,0,10,0
2003123,1,3.175,3,-64.989,101.4,0,10,0
2003124,1,1.232,3,-65,101.4,0,10,0
2003125,1,4.423,3,-64.967,101.348,0,10,0
2003126,1,11.49,3,-64.881,101.211,0,10,0
2003127,1,15.843,3,-64.764,101.02,0,10,0
2003128,1,17.497,3,-64.636,100.803,0,10,0
2003129,1,16.47,3,-64.519,100.592,0,10,0
2003130,1,12.767,3,-64.433,100.414,0,10,0
2003131,1,6.584,3,-64.4,100.3,0,10,0
2003145,14,52.802,3,-64.8,99.7,0,10,0
2003146,1,4.417,3,-64.783,99.615,0,10,0
2003147,1,7.337,3,-64.741,99.497,0,10,0
2003148,1,9.101,3,-64.682,99.363,0,10,0
2003149,1,9.513,3,-64.618,99.229,0,10,0
2003150,1,8.545,3,-64.56,99.113,0,10,0
2003151,1,6.164,3,-64.517,99.031,0,10,0
2003152,1,2.367,3,-64.5,99,0,10,0
2003153,1,0,3,-64.5,99,0,10,0
2003154,1,0,3,-64.5,99,0,10,0
2003155,1,0,3,-64.5,99,0,10,0
2003156,1,0,3,-64.5,99,0,10,0
2003157,1,0,3,-64.5,99,0,10,0
2003158,1,0,3,-64.5,99,0,10,0
2003159,1,0,3,-64.5,99,0,10,0
2003160,1,0,3,-64.5,99,0,10,0
2003161,1,0,3,-64.5,99,0,10,0
2003162,1,0,3,-64.5,99,0,10,0
2003163,1,0,3,-64.5,99,0,10,0
2003164,1,0,3,-64.5,99,0,10,0
2003165,1,0,3,-64.5,99,0,10,0
2003166,1,0,3,-64.5,99,0,10,0
2003167,1,0.611,3,-64.495,99,0,10,0
2003168,1,1.588,3,-64.48,99,0,10,0
2003169,1,2.176,3,-64.461,99,0,10,0
2003170,1,2.354,3,-64.439,99,0,10,0
2003171,1,2.176,3,-64.42,99,0,10,0
2003172,1,1.588,3,-64.406,99,0,10,0
2003173,1,0.611,3,-64.4,99,0,10,0
2003187,14,0,3,-64.4,99,0,10,0
2003215,28,14.661,3,-64.5,98.8,0,10,0
2003250,35,9.559,3,-64.5,98.6,0,10,0
2003287,37,6.042,33,-64.55,98.65,0,10,0
2003288,1,0,33,-64.55,98.65,0,10,0
2003289,1,0,33,-64.55,98.65,0,10,0
2003290,1,5.663,33,-64.591,98.579,0,10,0
