date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2007357,0,0,3,-67.32,77.93,0,10,0
2007358,1,0,3,-67.32,77.93,0,10,0
2007359,1,0,3,-67.32,77.93,0,10,0
2007360,1,0,3,-67.32,77.93,0,10,0
2007361,1,0,3,-67.32,77.93,0,10,0
2007362,1,0,3,-67.32,77.93,0,10,0
2007363,1,0,3,-67.32,77.93,0,10,0
2007364,1,0,3,-67.32,77.93,0,10,0
2007365,1,0,3,-67.32,77.93,0,10,0
2008001,1,0,3,-67.32,77.93,0,10,0
2008002,1,0,3,-67.32,77.93,0,10,0
2008003,1,0,3,-67.32,77.93,0,10,0
2008004,1,0,3,-67.32,77.93,0,10,0
2008005,1,0,3,-67.32,77.93,0,10,0
2008006,1,0,3,-67.32,77.93,0,10,0
2008007,1,0,3,-67.32,77.93,0,10,0
2008008,1,0,3,-67.32,77.93,0,10,0
2008009,1,0,3,-67.32,77.93,0,10,0
2008010,1,0,3,-67.32,77.93,0,10,0
2008011,1,0,3,-67.32,77.93,0,10,0
2008012,1,0,3,-67.32,77.93,0,10,0
2008013,1,0,3,-67.32,77.93,0,10,0
2008014,1,0,3,-67.32,77.93,0,10,0
2008015,1,0,3,-67.32,77.93,0,10,0
2008016,1,0,3,-67.32,77.93,0,10,0
2008017,1,0,3,-67.32,77.93,0,10,0
2008018,1,0,3,-67.32,77.93,0,10,0
2008019,1,0,3,-67.32,77.93,0,10,0
2008020,1,0,3,-67.32,77.93,0,10,0
2008021,1,0,3,-67.32,77.93,0,10,0
2008022,1,0,3,-67.32,77.93,0,10,0
2008023,1,0,3,-67.32,77.93,0,10,0
2008024,1,0,3,-67.32,77.93,0,10,0
2008025,1,0,3,-67.32,77.93,0,10,0
2008026,1,0,3,-67.32,77.93,0,10,0
2008027,1,0,3,-67.32,77.93,0,10,0
2008028,1,0,3,-67.32,77.93,0,10,0
2008029,1,0,3,-67.32,77.93,0,10,0
2008030,1,0,3,-67.32,77.93,0,10,0
2008031,1,0,3,-67.32,77.93,0,10,0
2008032,1,0,3,-67.32,77.93,0,10,0
2008033,1,0,3,-67.32,77.93,0,10,0
2008034,1,0,3,-67.32,77.93,0,10,0
