date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2010024,0,0,2,-65.7,55.48,1,11014.54,0
2010025,1,0,3,-65.7,55.48,1,10639.84,0
2010026,1,0,3,-65.7,55.48,1,10265.13,0
2010027,1,0,3,-65.7,55.48,1,9890.43,0
2010028,1,0,3,-65.7,55.48,1,9515.72,0
2010029,1,0,3,-65.7,55.48,1,9141.02,0
2010030,1,0,3,-65.7,55.48,1,8766.31,0
2010031,1,0,2,-65.7,55.48,1,8391.6,0
2010032,1,0.027,3,-65.7,55.479,1,8016.9,0
2010033,1,0.064,3,-65.7,55.478,1,7642.19,0
2010034,1,0.087,3,-65.7,55.476,1,7267.49,0
2010035,1,0.101,3,-65.7,55.474,1,6892.78,0
2010036,1,0.087,3,-65.7,55.472,1,6518.08,0
2010037,1,0.064,3,-65.7,55.471,1,6182.93,0
2010038,1,0.027,2,-65.7,55.47,1,5825.58,0
2010039,1,0.122,3,-65.699,55.47,1,5489.65,0
2010040,1,0.322,3,-65.696,55.47,1,5141.72,0
2010041,1,0.433,3,-65.692,55.47,1,4808.81,0
2010042,1,0.466,3,-65.688,55.47,1,4441.53,0
2010043,1,0.433,3,-65.684,55.47,1,4076.04,0
2010044,1,0.322,3,-65.681,55.47,1,3645.48,0
2010045,1,0.122,2,-65.68,55.47,1,3296.14,0
2010046,1,0,3,-65.68,55.47,1,2994.26,0
2010047,1,0,3,-65.68,55.47,1,2804.18,0
2010048,1,0,3,-65.68,55.47,1,2529.74,0
2010049,1,0,3,-65.68,55.47,1,2345.68,0
2010050,1,0,3,-65.68,55.47,1,2088.98,0
2010051,1,0,3,-65.68,55.47,1,1851.72,0
2010052,1,0,2,-65.68,55.47,1,1622.02,0
2010053,1,0,3,-65.68,55.47,1,1393.23,0
2010054,1,0,3,-65.68,55.47,1,1270.82,0
2010055,1,0,3,-65.68,55.47,1,1173.99,0
2010056,1,0,3,-65.68,55.47,1,1008.09,0
2010057,1,0,3,-65.68,55.47,1,853.54,0
2010058,1,0,3,-65.68,55.47,1,742.59,0
2010059,1,0,2,-65.68,55.47,1,640.27,0
2010060,1,0,3,-65.68,55.47,1,568.53,0
2010061,1,0,3,-65.68,55.47,1,566.07,0
2010062,1,0,3,-65.68,55.47,1,522.83,0
2010063,1,0,3,-65.68,55.47,1,511.83,0
2010064,1,0,3,-65.68,55.47,1,524.36,0
2010065,1,0,3,-65.68,55.47,1,552.58,0
