date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2012365,0,0,3,-75.03,-60.13,0,10,0
2012366,1,5.343,3,-75,-60.274,0,10,0
2013001,1,2.687,3,-74.985,-60.348,0,10,0
2013002,1,3.7,15,-75.009,-60.262,0,10,0
2013003,1,1.622,15,-75,-60.304,0,10,0
2013004,1,1.42,15,-74.991,-60.339,0,10,0
2013005,1,2.687,15,-74.968,-60.374,0,10,0
2013006,1,0.914,14,-74.96,-60.382,0,10,0
2013007,1,8.779,13,-75.016,-60.163,0,10,0
2013008,1,10.772,13,-74.953,-60.451,0,10,0
2013009,1,1.891,13,-74.955,-60.386,0,10,0
2013010,1,2.508,13,-74.937,-60.337,0,10,0
2013011,1,3.176,13,-74.944,-60.231,0,10,0
2013012,1,4.882,13,-74.974,-60.355,0,10,0
2013013,1,1.73,13,-74.982,-60.407,0,10,0
2013014,1,2.454,13,-74.995,-60.339,0,10,0
2013015,1,1.509,13,-75.008,-60.349,0,10,0
2013016,1,7.371,13,-74.942,-60.375,0,10,0
2013017,1,17.989,13,-74.805,-60.702,0,10,0
2013018,1,6.402,13,-74.836,-60.517,0,10,0
2013019,1,4.507,13,-74.799,-60.586,0,10,0
2013020,1,11.422,15,-74.701,-60.697,0,10,0
2013021,1,4.219,15,-74.664,-60.728,0,10,0
2013022,1,3.825,15,-74.629,-60.749,0,10,0
2013023,1,1.936,15,-74.613,-60.73,0,10,0
2013024,1,4.922,15,-74.569,-60.693,0,10,0
2013025,1,10.041,15,-74.479,-60.66,0,10,0
2013026,1,5.276,15,-74.44,-60.562,0,10,0
2013027,1,7.928,14,-74.368,-60.577,0,10,0
2013028,1,7.812,15,-74.302,-60.487,0,10,0
2013029,1,5.353,15,-74.255,-60.457,0,10,0
2013030,1,12.61,15,-74.144,-60.369,0,10,0
2013031,1,14.717,15,-74.014,-60.276,0,10,0
2013032,1,19.624,15,-73.839,-60.179,0,10,0
2013033,1,9.774,15,-73.751,-60.14,1,10,0
2013034,1,6.144,15,-73.697,-60.115,1,10,0
2013035,1,5.025,15,-73.651,-60.102,1,10,0
2013036,1,5.757,15,-73.6,-60.118,1,10,0
2013037,1,3.262,15,-73.621,-60.047,1,10,0
2013038,1,1.751,15,-73.635,-60.072,0,10,0
2013039,1,6.559,15,-73.576,-60.08,0,10,0
2013040,1,2.318,15,-73.572,-60.007,0,10,0
2013041,1,4.669,14,-73.53,-60.005,0,10,0
2013042,1,5.914,15,-73.483,-59.921,1,10,0
2013043,1,2.327,15,-73.5,-59.962,1,10,0
2013044,1,3.365,15,-73.471,-59.997,1,10,0
2013045,1,6.237,15,-73.416,-59.973,1,10,0
2013046,1,5.509,15,-73.366,-59.962,1,10,0
2013047,1,5.437,15,-73.317,-59.957,0,10,0
2013048,1,9.96,14,-73.227,-59.963,0,10,0
2013049,1,11.871,13,-73.333,-59.899,0,10,0
2013050,1,1.346,13,-73.328,-59.937,0,10,0
2013051,1,1.344,13,-73.322,-59.975,0,10,0
2013052,1,22.086,13,-73.124,-59.905,0,10,0
2013053,1,28.407,13,-72.885,-59.594,0,10,0
2013054,1,16.868,13,-72.735,-59.667,0,10,0
2013055,1,8.939,13,-72.815,-59.657,0,10,0
2013056,1,7.579,13,-72.747,-59.669,0,10,0
2013057,1,12.448,13,-72.809,-59.353,0,10,0
2013058,1,8.782,13,-72.766,-59.579,0,10,0
2013059,1,1.322,13,-72.778,-59.581,0,10,0
2013060,1,4.649,13,-72.767,-59.717,0,10,0
2013061,1,0.361,13,-72.769,-59.709,0,10,0
2013062,1,0.851,13,-72.775,-59.692,0,10,0
2013063,1,1.014,13,-72.782,-59.671,0,10,0
2013064,1,0.851,13,-72.787,-59.653,0,10,0
2013065,1,0.361,13,-72.79,-59.646,0,10,0
2013066,1,0,13,-72.79,-59.646,0,10,0
2013067,1,13.464,13,-72.671,-59.566,0,10,0
2013068,1,3.884,13,-72.654,-59.669,0,10,0
2013069,1,0,13,-72.654,-59.669,0,10,0
2013070,1,0,13,-72.654,-59.669,0,10,0
2013071,1,0,13,-72.654,-59.669,0,10,0
2013072,1,0,13,-72.654,-59.669,0,10,0
2013073,1,0,13,-72.654,-59.669,0,10,0
2013074,1,0,13,-72.654,-59.669,0,10,0
2013075,1,0,13,-72.654,-59.669,0,10,0
2013076,1,0,13,-72.654,-59.669,0,10,0
2013077,1,0,13,-72.654,-59.669,0,10,0
2013078,1,0,13,-72.654,-59.669,0,10,0
2013079,1,0,13,-72.654,-59.669,0,10,0
2013080,1,0,13,-72.654,-59.669,0,10,0
2013081,1,0,13,-72.654,-59.669,0,10,0
2013082,1,0,13,-72.654,-59.669,0,10,0
2013083,1,0,13,-72.654,-59.669,0,10,0
2013084,1,0,13,-72.654,-59.669,0,10,0
2013085,1,0,13,-72.654,-59.669,0,10,0
2013086,1,0,13,-72.654,-59.669,0,14.39,0
2013087,1,0,13,-72.654,-59.669,0,18.78,0
2013088,1,0,13,-72.654,-59.669,0,29.05,0
2013089,1,0,13,-72.654,-59.669,0,40.6,0
2013090,1,0,13,-72.654,-59.669,0,58.69,0
2013091,1,0,13,-72.654,-59.669,0,79.38,0
2013092,1,0,13,-72.654,-59.669,0,81.95,0
2013093,1,0,13,-72.654,-59.669,0,86.37,0
2013094,1,0,13,-72.654,-59.669,0,124.1,0
2013095,1,0,13,-72.654,-59.669,0,165.27,0
2013096,1,0,13,-72.654,-59.669,0,213.84,0
2013097,1,0,13,-72.654,-59.669,0,265.86,0
2013098,1,0,13,-72.654,-59.669,0,325.28,0
2013099,1,0,13,-72.654,-59.669,0,388.15,0
2013100,1,0,13,-72.654,-59.669,0,454.02,0
2013101,1,0,13,-72.654,-59.669,0,523.35,0
2013102,1,0,13,-72.654,-59.669,0,593.85,0
2013244,142,509.605,3,-68.06,-59.25,1,664.01,0
2013291,47,49.456,3,-68.46,-59.78,1,734.69,0
2013292,1,8.954,3,-68.38,-59.748,1,803.08,0
2013293,1,23.26,3,-68.173,-59.665,1,872.7,0
2013294,1,32.213,3,-67.886,-59.552,1,940.08,0
2013295,1,35.755,3,-67.567,-59.428,1,1007.87,0
2013296,1,33.924,3,-67.265,-59.315,1,1076.26,0
2013297,1,26.703,3,-67.026,-59.232,1,1141.75,0
2013298,1,14.078,3,-66.9,-59.2,1,1206.97,0
2013312,14,43.347,3,-66.51,-59.25,1,1264.16,0
2013313,1,1.073,3,-66.504,-59.269,1,1332.03,0
2013314,1,1.747,3,-66.499,-59.306,1,1400.48,0
2013315,1,2.218,3,-66.495,-59.355,1,1456.89,0
2013316,1,2.413,3,-66.492,-59.409,1,1519.99,0
2013317,1,2.32,3,-66.488,-59.461,1,1593.61,0
2013318,1,1.931,3,-66.484,-59.504,1,1666.15,0
2013319,1,1.271,3,-66.48,-59.53,1,1704.28,0
2013333,14,10.589,3,-66.4,-59.66,1,1746.71,0
2013334,1,1.588,3,-66.386,-59.659,1,1776.8,0
2013335,1,2.41,3,-66.364,-59.658,1,1775.99,0
2013336,1,2.899,3,-66.338,-59.656,1,1768.06,0.0379
2013337,1,3.043,3,-66.311,-59.654,1,1756.67,-0.0293
2013338,1,2.865,3,-66.285,-59.652,1,1742.01,-0.1172
2013339,1,2.354,3,-66.264,-59.651,1,1723.9,-0.0567
2013340,1,1.499,3,-66.25,-59.65,1,1702.98,-0.0037
2013354,14,19.933,3,-66.18,-60.06,1,1676.31,0.0536
2014003,14,6.725,3,-66.18,-59.91,1,1655.21,0.0705
2014004,1,0.744,3,-66.18,-59.927,1,1598.12,0.0887
2014005,1,1.923,3,-66.18,-59.97,1,1544.26,0.1044
2014006,1,2.627,3,-66.18,-60.028,1,1488.47,-0.0013
2014007,1,2.86,3,-66.18,-60.092,1,1464.18,-0.0768
2014008,1,2.627,3,-66.18,-60.151,1,1435.57,-0.0189
2014009,1,1.923,3,-66.18,-60.193,1,1406.26,-0.0057
2014010,1,0.744,3,-66.18,-60.21,1,1368.48,0.0127
2014011,1,0,3,-66.18,-60.21,1,1334.86,-0.0012
2014012,1,0,3,-66.18,-60.21,1,1280.44,0
2014013,1,0,3,-66.18,-60.21,1,1220.82,0
2014014,1,0,3,-66.18,-60.21,1,1162.59,0
2014015,1,0,3,-66.18,-60.21,1,1092.1,0
2014016,1,0,3,-66.18,-60.21,1,1026.31,0
2014017,1,0,3,-66.18,-60.21,1,957.35,0
2014018,1,0.301,3,-66.177,-60.209,1,887.56,0
2014019,1,0.824,3,-66.17,-60.208,1,808.16,0
2014020,1,1.191,3,-66.159,-60.206,1,732.51,0
