date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2003005,0,0,3,-72,-114.2,0,10,0
2003006,1,18.78,3,-71.944,-114.716,0,10,0
2003007,1,17.631,3,-71.898,-115.206,0,10,0
2003008,1,16.078,3,-71.862,-115.657,0,10,0
2003009,1,14.097,3,-71.834,-116.055,0,10,0
2003010,1,11.689,3,-71.815,-116.387,0,10,0
2003011,1,8.845,3,-71.804,-116.64,0,10,0
2003012,1,5.57,3,-71.8,-116.8,0,10,0
2003013,1,3.728,3,-71.814,-116.898,0,10,0
2003014,1,4.813,3,-71.85,-116.977,0,10,0
2003015,1,5.847,3,-71.898,-117.04,0,10,0
2003016,1,6.193,3,-71.952,-117.095,0,10,0
2003017,1,5.678,3,-72,-117.144,0,10,0
2003018,1,4.328,3,-72.036,-117.195,0,10,0
2003019,1,2.44,3,-72.05,-117.25,0,10,0
2003040,21,72.93,3,-71.5,-118.4,0,10,0
2003041,1,2.209,3,-71.52,-118.4,0,10,0
2003042,1,5.915,3,-71.573,-118.4,0,10,0
2003043,1,8.535,3,-71.65,-118.4,0,10,0
2003044,1,10.088,3,-71.741,-118.4,0,10,0
2003045,1,10.554,3,-71.836,-118.4,0,10,0
2003046,1,9.944,3,-71.926,-118.4,0,10,0
2003047,1,8.246,3,-72,-118.4,0,10,0
2003048,1,7.636,3,-72.069,-118.403,0,10,0
2003049,1,8.361,3,-72.144,-118.411,0,10,0
2003050,1,8.389,3,-72.22,-118.423,0,10,0
2003051,1,7.743,3,-72.289,-118.439,0,10,0
2003052,1,6.401,3,-72.347,-118.457,0,10,0
2003053,1,4.384,3,-72.386,-118.478,0,10,0
2003054,1,1.759,3,-72.4,-118.5,0,10,0
2003068,14,70.744,3,-71.85,-119.55,0,10,0
2003069,1,5.908,3,-71.886,-119.676,0,10,0
2003070,1,11.758,3,-71.979,-119.84,0,10,0
2003071,1,15.392,3,-72.106,-120.022,0,10,0
2003072,1,16.503,3,-72.244,-120.199,0,10,0
2003073,1,14.999,3,-72.371,-120.352,0,10,0
2003074,1,10.918,3,-72.464,-120.46,0,10,0
2003075,1,4.217,3,-72.5,-120.5,0,10,0
2003076,1,5.196,3,-72.453,-120.489,0,10,0
2003077,1,13.485,3,-72.332,-120.46,0,10,0
2003078,1,18.625,3,-72.165,-120.421,0,10,0
2003079,1,20.616,3,-71.979,-120.379,0,10,0
2003080,1,19.435,3,-71.805,-120.34,0,10,0
2003081,1,15.126,3,-71.669,-120.311,0,10,0
2003082,1,7.634,3,-71.6,-120.3,0,10,0
2003083,1,2.708,3,-71.576,-120.3,0,10,0
2003084,1,2.408,3,-71.554,-120.3,0,10,0
2003085,1,2.042,3,-71.536,-120.3,0,10,0
2003086,1,1.665,3,-71.521,-120.3,0,10,0
2003087,1,1.243,3,-71.509,-120.3,0,10,0
2003088,1,0.766,3,-71.502,-120.3,0,10,0
2003089,1,0.266,3,-71.5,-120.3,0,10,0
2003090,1,0.38,3,-71.503,-120.297,0,10,0
2003091,1,1.04,3,-71.512,-120.289,0,10,0
2003092,1,1.572,3,-71.526,-120.276,0,10,0
2003093,1,1.938,3,-71.543,-120.26,0,10,0
2003094,1,2.186,3,-71.561,-120.242,0,10,0
2003095,1,2.29,3,-71.581,-120.221,0,10,0
2003096,1,2.237,3,-71.6,-120.2,0,10,0
2003110,14,52.341,3,-72,-119.4,0,10,0
2003111,1,3.233,3,-72.029,-119.405,0,10,0
2003112,1,3.328,3,-72.059,-119.418,0,10,0
2003113,1,3.401,3,-72.089,-119.44,0,10,0
2003114,1,176.096,35,-72.878,-114.863,0,10,0
2003115,1,1.703,35,-72.892,-114.882,0,10,0
2003116,1,1.679,35,-72.906,-114.904,0,10,0
2003117,1,1.637,35,-72.919,-114.928,0,10,0
2003118,1,2.914,35,-72.932,-115.006,0,10,0
2003119,1,5.427,35,-72.946,-115.165,0,10,0
2003120,1,7.069,35,-72.96,-115.377,0,10,0
2003121,1,7.757,35,-72.973,-115.612,0,10,0
2003122,1,7.481,35,-72.984,-115.839,0,10,0
2003123,1,6.237,35,-72.991,-116.03,0,10,0
2003124,1,4.033,35,-72.994,-116.153,0,10,0
2003125,1,200.858,33,-73.637,-110.257,0,10,0
2003126,1,0,33,-73.637,-110.257,0,10,0
2003127,1,0,33,-73.637,-110.257,0,10,0
2003128,1,0,33,-73.637,-110.257,0,10,0
2003129,1,0,33,-73.637,-110.257,0,10,0
2003130,1,0,33,-73.637,-110.257,0,10,0
2003131,1,0,33,-73.637,-110.257,0,10,0
2003132,1,0,33,-73.637,-110.257,0,10,0
2003133,1,0,33,-73.637,-110.257,0,10,0
2003134,1,0,33,-73.637,-110.257,0,10,0
2003135,1,0,33,-73.637,-110.257,0,10,0
2003136,1,7.667,33,-73.67,-110.04,0,10,0
2003137,1,0,33,-73.67,-110.04,0,10,0
2003138,1,225.671,35,-72.985,-116.72,0,10,0
2003139,1,3.559,35,-72.99,-116.828,0,10,0
2003140,1,5.211,35,-73.004,-116.981,0,10,0
2003141,1,6.48,35,-73.025,-117.168,0,10,0
2003142,1,9.669,35,-73.102,-117.305,0,10,0
2003143,1,7.729,35,-73.131,-117.525,0,10,0
2003144,1,7.717,35,-73.16,-117.743,0,10,0
2003145,1,7.269,35,-73.187,-117.949,0,10,0
2003146,1,7.793,35,-73.214,-118.173,0,10,0
2003147,1,9.033,35,-73.243,-118.436,0,10,0
2003148,1,9.462,35,-73.274,-118.711,0,10,0
2003149,1,9.085,35,-73.307,-118.972,0,10,0
2003150,1,7.942,35,-73.342,-119.191,0,10,0
2003151,1,6.172,35,-73.376,-119.342,0,10,0
2003152,1,4.306,35,-73.412,-119.399,0,10,0
2003153,1,4.315,35,-73.45,-119.368,0,10,0
2003154,1,5.241,35,-73.491,-119.29,0,10,0
2003155,1,5.885,35,-73.535,-119.182,0,10,0
2003156,1,6.043,35,-73.578,-119.065,0,10,0
2003157,1,5.664,35,-73.619,-118.958,0,10,0
2003158,1,4.78,35,-73.656,-118.879,0,10,0
2003159,1,3.558,35,-73.687,-118.849,0,10,0
2003160,1,278.121,33,-73.773,-109.898,0,10,0
2003161,1,0,33,-73.773,-109.898,0,10,0
2003162,1,0,33,-73.773,-109.898,0,10,0
2003163,1,0,33,-73.773,-109.898,0,10,0
2003164,1,0,33,-73.773,-109.898,0,10,0
2003165,1,0,33,-73.773,-109.898,0,10,0
2003166,1,0,33,-73.773,-109.898,0,10,0
2003167,1,0,33,-73.773,-109.898,0,10,0
2003168,1,0,33,-73.773,-109.898,0,10,0
2003169,1,5.289,33,-73.769,-110.067,0,10,0
2003170,1,0,33,-73.769,-110.067,0,10,0
2003171,1,0,33,-73.769,-110.067,0,10,0
2003172,1,0,33,-73.769,-110.067,0,10,0
2003173,1,311.449,35,-73.96,-120.159,0,10,0
2003174,1,3.025,35,-73.953,-120.255,0,10,0
2003175,1,3.591,35,-73.937,-120.356,0,10,0
2003176,1,4.044,35,-73.915,-120.46,0,10,0
2003177,1,4.212,35,-73.89,-120.563,0,10,0
2003178,1,4.054,35,-73.866,-120.662,0,10,0
2003179,1,3.564,35,-73.846,-120.753,0,10,0
2003180,1,2.798,35,-73.835,-120.834,0,10,0
2003181,1,332.778,33,-73.769,-110.067,0,10,0
2003182,1,0,33,-73.769,-110.067,0,10,0
2003183,1,0,33,-73.769,-110.067,0,10,0
2003184,1,0,33,-73.769,-110.067,0,10,0
2003185,1,0,33,-73.769,-110.067,0,10,0
2003186,1,0,33,-73.769,-110.067,0,10,0
2003187,1,0,33,-73.769,-110.067,0,10,0
2003188,1,0,33,-73.769,-110.067,0,10,0
2003189,1,0,33,-73.769,-110.067,0,10,0
2003190,1,0,33,-73.769,-110.067,0,10,0
2003191,1,0,33,-73.769,-110.067,0,10,0
2003192,1,0,33,-73.769,-110.067,0,10,0
2003193,1,0,33,-73.769,-110.067,0,10,0
2003194,1,357.861,35,-73.785,-121.634,0,10,0
2003195,1,357.861,33,-73.769,-110.067,0,10,0
2003196,1,0,33,-73.769,-110.067,0,10,0
2003197,1,0,33,-73.769,-110.067,0,10,0
2003198,1,0,33,-73.769,-110.067,0,10,0
2003199,1,0,33,-73.769,-110.067,0,10,0
2003200,1,0,33,-73.769,-110.067,0,10,0
2003201,1,0,33,-73.769,-110.067,0,10,0
2003202,1,0,33,-73.769,-110.067,0,10,0
2003203,1,0,33,-73.769,-110.067,0,10,0
2003204,1,0,33,-73.769,-110.067,0,10,0
2003205,1,0,33,-73.769,-110.067,0,10,0
2003206,1,0,33,-73.769,-110.067,0,10,0
2003207,1,0,33,-73.769,-110.067,0,10,0
2003208,1,0,33,-73.769,-110.067,0,10,0
2003209,1,1.412,33,-73.78,-110.09,0,10,0
2003210,1,0,33,-73.78,-110.09,0,10,0
2003211,1,0,33,-73.78,-110.09,0,10,0
2003212,1,5.937,33,-73.822,-109.971,0,10,0
2003213,1,0,33,-73.822,-109.971,0,10,0
2003214,1,0,33,-73.822,-109.971,0,10,0
2003215,1,365.208,35,-73.911,-121.835,0,10,0
2003216,1,365.209,33,-73.822,-109.971,0,10,0
2003217,1,9.626,33,-73.747,-110.125,0,10,0
2003218,1,0,33,-73.747,-110.125,0,10,0
2003219,1,0,33,-73.747,-110.125,0,10,0
2003220,1,6.75,33,-73.687,-110.16,0,10,0
2003221,1,5.286,33,-73.658,-110.026,0,10,0
2003222,1,0,33,-73.658,-110.026,0,10,0
2003223,1,0,33,-73.658,-110.026,0,10,0
2003224,1,0,33,-73.658,-110.026,0,10,0
2003225,1,0,33,-73.658,-110.026,0,10,0
2003226,1,0,33,-73.658,-110.026,0,10,0
2003227,1,3.948,33,-73.658,-110.152,0,10,0
2003228,1,0,33,-73.658,-110.152,0,10,0
2003229,1,5.8,33,-73.635,-109.986,0,10,0
2003230,1,5.187,33,-73.604,-110.11,0,10,0
2003231,1,0,33,-73.604,-110.11,0,10,0
2003232,1,0,33,-73.604,-110.11,0,10,0
2003233,1,0,33,-73.604,-110.11,0,10,0
2003234,1,0,33,-73.604,-110.11,0,10,0
2003235,1,0,33,-73.604,-110.11,0,10,0
2003236,1,0,33,-73.604,-110.11,0,10,0
2003237,1,0,33,-73.604,-110.11,0,10,0
2003238,1,0,33,-73.604,-110.11,0,10,0
2003239,1,0,33,-73.604,-110.11,0,10,0
2003240,1,0,33,-73.604,-110.11,0,10,0
2003241,1,0,33,-73.604,-110.11,0,10,0
2003242,1,0,33,-73.604,-110.11,0,10,0
2003243,1,0,33,-73.604,-110.11,0,10,0
2003244,1,0,33,-73.604,-110.11,0,10,0
2003245,1,0,33,-73.604,-110.11,0,10,0
2003246,1,0,33,-73.604,-110.11,0,10,0
2003247,1,0,33,-73.604,-110.11,0,10,0
2003248,1,0,33,-73.604,-110.11,0,10,0
2003249,1,0,33,-73.604,-110.11,0,10,0
2003250,1,364.338,35,-73.752,-121.805,0,10,0
2003251,1,364.34,33,-73.604,-110.11,0,10,0
2003252,1,0,33,-73.604,-110.11,0,10,0
2003253,1,0,33,-73.604,-110.11,0,10,0
2003254,1,0,33,-73.604,-110.11,0,10,0
2003255,1,0,33,-73.604,-110.11,0,10,0
2003256,1,0,33,-73.604,-110.11,0,10,0
2003257,1,0,33,-73.604,-110.11,0,10,0
2003258,1,0,33,-73.604,-110.11,0,10,0
2003259,1,0,33,-73.604,-110.11,0,10,0
2003260,1,0,33,-73.604,-110.11,0,10,0
2003261,1,0,33,-73.604,-110.11,0,10,0
2003262,1,0,33,-73.604,-110.11,0,10,0
2003263,1,0,33,-73.604,-110.11,0,10,0
2003264,1,0,33,-73.604,-110.11,0,10,0
2003265,1,0,33,-73.604,-110.11,0,10,0
2003266,1,0,33,-73.604,-110.11,0,16.38,0
2003267,1,0,33,-73.604,-110.11,0,22.75,0
2003268,1,0,33,-73.604,-110.11,0,36.22,0
2003269,1,11.145,33,-73.506,-110.192,0,50.09,0
2003270,1,0,33,-73.506,-110.192,0,71.12,0
2003271,1,0,33,-73.506,-110.192,0,92.63,0
2003272,1,0,33,-73.506,-110.192,0,121.35,0
2003273,1,0,33,-73.506,-110.192,0,150.64,0
2003274,1,0,33,-73.506,-110.192,0,187.26,0
2003275,1,0,33,-73.506,-110.192,0,224.45,0
2003276,1,0,33,-73.506,-110.192,0,269.13,0
2003277,1,0,33,-73.506,-110.192,0,314.38,0
2003278,1,0,33,-73.506,-110.192,0,366.11,0
2003279,1,11.292,33,-73.406,-110.119,0,418.4,0
2003280,1,0,33,-73.406,-110.119,0,470.8,0
2003281,1,0,33,-73.406,-110.119,0,523.76,0
2003282,1,5.303,33,-73.364,-110.196,0,575.77,0
2003283,1,0,33,-73.364,-110.196,0,627.94,0
2003284,1,0,33,-73.364,-110.196,0,679.09,0
2003285,1,0,33,-73.364,-110.196,0,730.33,0
2003286,1,0,33,-73.364,-110.196,0,780.49,0
2003287,1,0,33,-73.364,-110.196,0,830.65,0
2003288,1,0,33,-73.364,-110.196,0,879.61,0
2003289,1,0,33,-73.364,-110.196,0,928.3,0
2003290,1,0,33,-73.364,-110.196,0,978.46,0
2003291,1,0,33,-73.364,-110.196,0,1028.55,0
2003292,1,0,33,-73.364,-110.196,0,1068.37,0
2003293,1,0,33,-73.364,-110.196,0,1111.16,0
2003294,1,0,33,-73.364,-110.196,0,1153.89,0
2003295,1,0,33,-73.364,-110.196,0,1186.72,0
2003296,1,0,33,-73.364,-110.196,0,1219.6,0
2003297,1,0,33,-73.364,-110.196,0,1245.83,0
2003299,2,718.868,3,-73.9,-133.3,0,1273.7,0
2004001,67,124.319,17,-74.1,-137.3,1,1297.13,0
2004002,1,0,17,-74.1,-137.3,1,1311.06,0
2004003,1,0,17,-74.1,-137.3,1,1328.41,0
2004004,1,14.523,19,-74.145,-137.749,1,1336.96,0.1055
2004005,1,10.58,17,-74.127,-138.091,1,1342.87,0.0505
2004006,1,0,17,-74.127,-138.091,1,1348.23,-0.3008
2004007,1,8.984,17,-74.17,-138.344,1,1356.37,-0.3633
2004008,1,0,17,-74.17,-138.344,1,1366.67,-0.5617
2004009,1,8.95,17,-74.223,-138.565,1,1377.91,-0.8164
2004010,1,0,17,-74.223,-138.565,1,1394.18,-0.8824
2004011,1,0,17,-74.223,-138.565,1,1413.7,-0.7596
2004012,1,9.796,17,-74.282,-138.81,1,1436.09,-0.4481
2004013,1,0,17,-74.282,-138.81,1,1462.47,-0.2794
2004014,1,5.935,17,-74.32,-138.671,1,1492.05,-0.2467
2004015,1,0,17,-74.32,-138.671,1,1527.13,0.0643
2004016,1,0,17,-74.32,-138.671,1,1516.99,0.078
2004017,1,14.182,17,-74.433,-138.451,1,1506.45,0
