date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2016001,0,0,4,-77.08,-155.288,1,10,0
2016002,1,0,4,-77.08,-155.288,1,10,0
2016003,1,0,4,-77.08,-155.288,1,10,0
2016004,1,0,4,-77.08,-155.288,1,10,0
2016005,1,0,4,-77.08,-155.288,1,10,0
2016006,1,0,4,-77.08,-155.288,1,10,0
2016007,1,0,4,-77.08,-155.288,1,10,0
2016008,1,0,4,-77.08,-155.288,1,10,0
2016009,1,0,4,-77.08,-155.288,1,10,0
2016010,1,0,4,-77.08,-155.288,1,10,0
2016011,1,0,4,-77.08,-155.288,1,10,0
2016012,1,11.382,4,-77.175,-155.11,1,10,0
2016014,2,19.936,4,-76.996,-155.052,1,10,0
2016015,1,0,4,-76.996,-155.052,1,10,0
2016016,1,0,4,-76.996,-155.052,1,10,0
2016017,1,0,4,-76.996,-155.052,1,10,0
2016018,1,0,5,-76.996,-155.052,1,10,0
2016019,1,0,4,-76.996,-155.052,1,10,0
2016020,1,0,4,-76.996,-155.052,1,10,0
2016021,1,0,4,-76.996,-155.052,1,10,0
2016022,1,0,4,-76.996,-155.052,1,10,0
2016023,1,2.129,4,-77.012,-155.007,1,10,0
2016024,1,0,4,-77.012,-155.007,1,10,0
2016025,1,6.736,4,-76.984,-155.247,1,10,0
2016026,1,0,4,-76.984,-155.247,1,10,0
2016027,1,0,4,-76.984,-155.247,1,10,0
2016028,1,0,4,-76.984,-155.247,1,10,0
2016029,1,0,4,-76.984,-155.247,1,10,0
2016030,1,0,4,-76.984,-155.247,0,10,0
2016031,1,0,4,-76.984,-155.247,0,10,0
2016032,1,4.215,4,-77.017,-155.331,0,10,0
2016033,1,0,4,-77.017,-155.331,0,10,0
2016034,1,0,4,-77.017,-155.331,1,10,0
2016035,1,0,4,-77.017,-155.331,1,10,0
2016036,1,0,4,-77.017,-155.331,1,10,0
2016037,1,0,4,-77.017,-155.331,1,10,0
2016038,1,0,4,-77.017,-155.331,1,10,0
2016039,1,0,4,-77.017,-155.331,1,10,0
2016040,1,3.307,5,-77.047,-155.346,1,10,0
2016041,1,3.306,4,-77.076,-155.362,1,10,0
2016042,1,0,4,-77.076,-155.362,1,10,0
2016043,1,0,4,-77.076,-155.362,1,10,0
2016044,1,1.373,4,-77.082,-155.312,1,10,0
2016045,1,0,4,-77.082,-155.312,1,10,0
2016046,1,0,4,-77.082,-155.312,0,10,0
2016047,1,0,5,-77.082,-155.312,0,10,0
2016048,1,0,4,-77.082,-155.312,0,10,0
2016049,1,0,4,-77.082,-155.312,0,10,0
2016050,1,0,4,-77.082,-155.312,0,10,0
2016051,1,0,4,-77.082,-155.312,0,10,0
2016052,1,0,4,-77.082,-155.312,0,10,0
2016053,1,0,4,-77.082,-155.312,0,10,0
2016054,1,0,4,-77.082,-155.312,0,10,0
2016055,1,0,5,-77.082,-155.312,0,10,0
2016056,1,0,4,-77.082,-155.312,0,10,0
2016057,1,0,4,-77.082,-155.312,0,10,0
2016058,1,0,4,-77.082,-155.312,0,10,0
2016059,1,0,4,-77.082,-155.312,0,10,0
2016060,1,0,5,-77.082,-155.312,0,10,0
2016061,1,0,4,-77.082,-155.312,0,10,0
2016062,1,0,4,-77.082,-155.312,0,10,0
2016063,1,0,4,-77.082,-155.312,0,10,0
2016064,1,0,4,-77.082,-155.312,0,10,0
2016065,1,0,4,-77.082,-155.312,0,10,0
2016066,1,0,4,-77.082,-155.312,0,10,0
2016067,1,0,4,-77.082,-155.312,0,10,0
2016068,1,0,5,-77.082,-155.312,0,10,0
2016069,1,0,4,-77.082,-155.312,0,10,0
2016070,1,0,4,-77.082,-155.312,0,10,0
2016071,1,0,4,-77.082,-155.312,0,10,0
2016072,1,0,4,-77.082,-155.312,0,10,0
