date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
1996098,0,0,3,-67.1,146.2,0,10,0
1996126,28,0,3,-67.1,146.2,0,10,0
1996175,49,0,3,-67.1,146.2,0,10,0
1996189,14,0,3,-67.1,146.2,0,10,0
1996217,28,0,3,-67.1,146.2,0,10,0
1996245,28,0,3,-67.1,146.2,0,10,0
1996336,91,0,3,-67.1,146.2,0,10,0
1996337,1,0,3,-67.1,146.2,0,10,0
1996338,1,0,3,-67.1,146.2,0,10,0
1996339,1,0,3,-67.1,146.2,0,10,0
1996340,1,0,3,-67.1,146.2,0,10,0
1996341,1,0,3,-67.1,146.2,0,10,0
1996342,1,0,3,-67.1,146.2,0,10,0
1996343,1,0,3,-67.1,146.2,0,10,0
1996357,14,0,3,-67.1,146.2,0,10,0
1996358,1,0,3,-67.1,146.2,0,10,0
1996359,1,0,3,-67.1,146.2,0,10,0
1996360,1,0,3,-67.1,146.2,0,10,0
1996361,1,0,3,-67.1,146.2,0,10,0
1996362,1,0,3,-67.1,146.2,0,10,0
1996363,1,0,3,-67.1,146.2,0,10,0
1996364,1,0,3,-67.1,146.2,0,10,0
1996365,1,0,3,-67.1,146.2,0,10,0
1996366,1,0,3,-67.1,146.2,0,10,0
1997001,1,0,3,-67.1,146.2,0,10,0
1997002,1,0,3,-67.1,146.2,0,10,0
1997003,1,0,3,-67.1,146.2,0,10,0
1997004,1,0,3,-67.1,146.2,0,10,0
1997005,1,0,3,-67.1,146.2,0,10,0
1997006,1,0,3,-67.1,146.2,0,10,0
1997007,1,0,3,-67.1,146.2,0,10,0
1997008,1,0,3,-67.1,146.2,0,10,0
1997009,1,0,3,-67.1,146.2,0,10,0
1997010,1,0,3,-67.1,146.2,0,10,0
1997011,1,0,3,-67.1,146.2,0,10,0
1997012,1,0,3,-67.1,146.2,0,10,0
1997013,1,0,3,-67.1,146.2,0,10,0
1997014,1,0,3,-67.1,146.2,0,10,0
1997015,1,0,3,-67.1,146.2,0,10,0
1997016,1,0,3,-67.1,146.2,0,10,0
1997017,1,0,3,-67.1,146.2,0,10,0
1997018,1,0,3,-67.1,146.2,0,10,0
1997019,1,0,3,-67.1,146.2,0,10,0
1997020,1,0,3,-67.1,146.2,0,10,0
1997021,1,0,3,-67.1,146.2,0,10,0
1997022,1,0,3,-67.1,146.2,0,10,0
1997023,1,0,3,-67.1,146.2,0,10,0
1997024,1,0,3,-67.1,146.2,0,10,0
1997025,1,0,3,-67.1,146.2,0,10,0
1997026,1,0,3,-67.1,146.2,0,10,0
1997040,14,0,3,-67.1,146.2,0,10,0
1997089,49,0,3,-67.1,146.2,0,10,0
1997124,35,0,3,-67.1,146.2,0,10,0
1997125,1,0,3,-67.1,146.2,0,10,0
1997126,1,0,3,-67.1,146.2,0,10,0
1997127,1,0,3,-67.1,146.2,0,10,0
1997128,1,0,3,-67.1,146.2,0,10,0
1997129,1,0,3,-67.1,146.2,0,10,0
1997130,1,0,3,-67.1,146.2,0,10,0
1997131,1,0,3,-67.1,146.2,0,10,0
1997132,1,0,3,-67.1,146.2,0,10,0
1997133,1,0,3,-67.1,146.2,0,10,0
1997134,1,0,3,-67.1,146.2,0,10,0
1997135,1,0,3,-67.1,146.2,0,10,0
1997136,1,0,3,-67.1,146.2,0,10,0
1997137,1,0,3,-67.1,146.2,0,10,0
1997138,1,0,3,-67.1,146.2,0,10,0
1997139,1,0,3,-67.1,146.2,0,10,0
1997140,1,0,3,-67.1,146.2,0,10,0
1997141,1,0,3,-67.1,146.2,0,10,0
1997142,1,0,3,-67.1,146.2,0,10,0
1997143,1,0,3,-67.1,146.2,0,10,0
1997144,1,0,3,-67.1,146.2,0,10,0
1997145,1,0,3,-67.1,146.2,0,10,0
1997146,1,0,3,-67.1,146.2,0,10,0
1997147,1,0,3,-67.1,146.2,0,10,0
1997148,1,0,3,-67.1,146.2,0,10,0
1997149,1,0,3,-67.1,146.2,0,10,0
1997150,1,0,3,-67.1,146.2,0,10,0
1997151,1,0,3,-67.1,146.2,0,10,0
1997152,1,0,3,-67.1,146.2,0,10,0
1997153,1,0,3,-67.1,146.2,0,10,0
1997154,1,0,3,-67.1,146.2,0,10,0
1997155,1,0,3,-67.1,146.2,0,10,0
1997156,1,0,3,-67.1,146.2,0,10,0
1997157,1,0,3,-67.1,146.2,0,10,0
1997158,1,0,3,-67.1,146.2,0,10,0
1997159,1,0,3,-67.1,146.2,0,10,0
1997173,14,0,3,-67.1,146.2,0,10,0
1997201,28,0,3,-67.1,146.2,0,10,0
1997202,1,0,3,-67.1,146.2,0,10,0
1997203,1,0,3,-67.1,146.2,0,10,0
1997204,1,0,3,-67.1,146.2,0,10,0
1997205,1,0,3,-67.1,146.2,0,10,0
1997206,1,0,3,-67.1,146.2,0,10,0
1997207,1,0,3,-67.1,146.2,0,10,0
1997208,1,0,3,-67.1,146.2,0,10,0
1997209,1,0,3,-67.1,146.2,0,10,0
1997210,1,0,3,-67.1,146.2,0,10,0
1997211,1,0,3,-67.1,146.2,0,10,0
1997212,1,0,3,-67.1,146.2,0,10,0
1997213,1,0,3,-67.1,146.2,0,10,0
1997214,1,0,3,-67.1,146.2,0,10,0
1997215,1,0,3,-67.1,146.2,0,10,0
1997229,14,0,3,-67.1,146.2,0,10,0
1997243,14,0,3,-67.1,146.2,0,10,0
1997244,1,0,3,-67.1,146.2,0,10,0
1997245,1,0,3,-67.1,146.2,0,10,0
1997246,1,0,3,-67.1,146.2,0,10,0
1997247,1,0,3,-67.1,146.2,0,10,0
1997248,1,0,3,-67.1,146.2,0,10,0
1997249,1,0,3,-67.1,146.2,0,10,0
1997250,1,0,3,-67.1,146.2,0,10,0
1997251,1,0,3,-67.1,146.2,0,10,0
1997252,1,0,3,-67.1,146.2,0,10,0
1997253,1,0,3,-67.1,146.2,0,10,0
1997254,1,0,3,-67.1,146.2,0,10,0
1997255,1,0,3,-67.1,146.2,0,10,0
1997256,1,0,3,-67.1,146.2,0,10,0
1997257,1,0,3,-67.1,146.2,0,10,0
1997278,21,0,3,-67.1,146.2,0,10,0
1997299,21,0,3,-67.1,146.2,0,10,0
1997300,1,0,3,-67.1,146.2,0,10,0
1997301,1,0,3,-67.1,146.2,0,10,0
1997302,1,0,3,-67.1,146.2,0,10,0
1997303,1,0,3,-67.1,146.2,0,10,0
1997304,1,0,3,-67.1,146.2,0,10,0
1997305,1,0,3,-67.1,146.2,0,10,0
1997306,1,0,3,-67.1,146.2,0,10,0
1997307,1,0,3,-67.1,146.2,0,10,0
1997308,1,0,3,-67.1,146.2,0,10,0
1997309,1,0,3,-67.1,146.2,0,10,0
1997310,1,0,3,-67.1,146.2,0,10,0
1997311,1,0,3,-67.1,146.2,0,10,0
1997312,1,0,3,-67.1,146.2,0,10,0
1997313,1,0,3,-67.1,146.2,0,10,0
1997314,1,0,3,-67.1,146.2,0,10,0
1997315,1,0,3,-67.1,146.2,0,10,0
1997316,1,0,3,-67.1,146.2,0,10,0
1997317,1,0,3,-67.1,146.2,0,10,0
1997318,1,0,3,-67.1,146.2,0,10,0
1997319,1,0,3,-67.1,146.2,0,10,0
1997320,1,0,3,-67.1,146.2,0,10,0
1997321,1,0,3,-67.1,146.2,0,10,0
1997322,1,0,3,-67.1,146.2,0,10,0
1997323,1,0,3,-67.1,146.2,0,10,0
1997324,1,0,3,-67.1,146.2,0,10,0
1997325,1,0,3,-67.1,146.2,0,10,0
1997326,1,0,3,-67.1,146.2,0,10,0
1997327,1,0,3,-67.1,146.2,0,10,0
1997348,21,0,3,-67.1,146.2,0,10,0
1997349,1,0,3,-67.1,146.2,0,10,0
1997350,1,0,3,-67.1,146.2,0,10,0
1997351,1,0,3,-67.1,146.2,0,10,0
1997352,1,0,3,-67.1,146.2,0,10,0
1997353,1,0,3,-67.1,146.2,0,10,0
1997354,1,0,3,-67.1,146.2,0,10,0
1997355,1,0,3,-67.1,146.2,0,10,0
1998011,21,0,3,-67.1,146.2,0,10,0
1998060,49,0,3,-67.1,146.2,0,10,0
1998074,14,0,3,-67.1,146.2,0,10,0
1998075,1,0,3,-67.1,146.2,0,10,0
1998076,1,0,3,-67.1,146.2,0,10,0
1998077,1,0,3,-67.1,146.2,0,10,0
1998078,1,0,3,-67.1,146.2,0,10,0
1998079,1,0,3,-67.1,146.2,0,10,0
1998080,1,0,3,-67.1,146.2,0,10,0
1998081,1,0,3,-67.1,146.2,0,10,0
1998116,35,0,3,-67.1,146.2,0,10,0
1998158,42,0,3,-67.1,146.2,0,10,0
1998159,1,0,3,-67.1,146.2,0,10,0
1998160,1,0,3,-67.1,146.2,0,10,0
1998161,1,0,3,-67.1,146.2,0,10,0
1998162,1,0,3,-67.1,146.2,0,10,0
1998163,1,0,3,-67.1,146.2,0,10,0
1998164,1,0,3,-67.1,146.2,0,10,0
1998165,1,0,3,-67.1,146.2,0,10,0
1998179,14,0,3,-67.1,146.2,0,10,0
1998214,35,0,3,-67.1,146.2,0,10,0
1998215,1,0,3,-67.1,146.2,0,10,0
1998216,1,0,3,-67.1,146.2,0,10,0
1998217,1,0,3,-67.1,146.2,0,10,0
1998218,1,0,3,-67.1,146.2,0,10,0
1998219,1,0,3,-67.1,146.2,0,10,0
1998220,1,0,3,-67.1,146.2,0,10,0
1998221,1,0,3,-67.1,146.2,0,10,0
1998249,28,0,3,-67.1,146.2,0,10,0
1998291,42,0,3,-67.1,146.2,0,10,0
1998292,1,0,3,-67.1,146.2,0,10,0
1998293,1,0,3,-67.1,146.2,0,10,0
1998294,1,0,3,-67.1,146.2,0,10,0
1998295,1,0,3,-67.1,146.2,0,10,0
1998296,1,0,3,-67.1,146.2,0,10,0
1998297,1,0,3,-67.1,146.2,0,10,0
1998298,1,0,3,-67.1,146.2,0,10,0
1998299,1,0,3,-67.1,146.2,0,10,0
1998300,1,0,3,-67.1,146.2,0,10,0
1998301,1,0,3,-67.1,146.2,0,10,0
1998302,1,0,3,-67.1,146.2,0,10,0
1998303,1,0,3,-67.1,146.2,0,10,0
1998304,1,0,3,-67.1,146.2,0,10,0
1998305,1,0,3,-67.1,146.2,0,10,0
1998306,1,0,3,-67.1,146.2,0,10,0
1998307,1,0,3,-67.1,146.2,0,10,0
1998308,1,0,3,-67.1,146.2,0,10,0
1998309,1,0,3,-67.1,146.2,0,10,0
1998310,1,0,3,-67.1,146.2,0,10,0
1998311,1,0,3,-67.1,146.2,0,10,0
1998312,1,0,3,-67.1,146.2,0,10,0
1998313,1,0,3,-67.1,146.2,0,10,0
1998314,1,0,3,-67.1,146.2,0,10,0
1998315,1,0,3,-67.1,146.2,0,10,0
1998316,1,0,3,-67.1,146.2,0,10,0
1998317,1,0,3,-67.1,146.2,0,10,0
1998318,1,0,3,-67.1,146.2,0,10,0
1998319,1,0,3,-67.1,146.2,0,10,0
1998320,1,0,3,-67.1,146.2,0,10,0
1998321,1,0,3,-67.1,146.2,0,10,0
1998322,1,0,3,-67.1,146.2,0,10,0
1998323,1,0,3,-67.1,146.2,0,10,0
1998324,1,0,3,-67.1,146.2,0,10,0
1998325,1,0,3,-67.1,146.2,0,10,0
1998326,1,0,3,-67.1,146.2,0,10,0
1998340,14,0,3,-67.1,146.2,0,10,0
1998341,1,0,3,-67.1,146.2,0,10,0
1998342,1,0,3,-67.1,146.2,0,10,0
1998343,1,0,3,-67.1,146.2,0,10,0
1998344,1,0,3,-67.1,146.2,0,10,0
1998345,1,0,3,-67.1,146.2,0,10,0
1998346,1,0,3,-67.1,146.2,0,10,0
1998347,1,0,3,-67.1,146.2,0,10,0
1998348,1,0,3,-67.1,146.2,0,10,0
1998349,1,0,3,-67.1,146.2,0,10,0
1998350,1,0,3,-67.1,146.2,0,10,0
1998351,1,0,3,-67.1,146.2,0,10,0
1998352,1,0,3,-67.1,146.2,0,10,0
1998353,1,0,3,-67.1,146.2,0,10,0
1998354,1,0,3,-67.1,146.2,0,10,0
1999003,14,0,3,-67.1,146.2,0,10,0
1999031,28,0,3,-67.1,146.2,0,10,0
1999045,14,0,3,-67.1,146.2,0,10,0
1999087,42,11.1,3,-67,146.2,0,10,0
1999088,1,0,3,-67,146.2,0,10,0
1999089,1,0,3,-67,146.2,0,10,0
1999090,1,0,3,-67,146.2,0,10,0
1999091,1,0,3,-67,146.2,0,10,0
1999092,1,0,3,-67,146.2,0,10,0
1999093,1,0,3,-67,146.2,0,10,0
1999094,1,0,3,-67,146.2,0,10,0
1999129,35,0,3,-67,146.2,0,10,0
1999143,14,0,3,-67,146.2,0,10,0
1999164,21,0,3,-67,146.2,0,10,0
1999165,1,0,3,-67,146.2,0,10,0
1999166,1,0,3,-67,146.2,0,10,0
1999167,1,0,3,-67,146.2,0,10,0
1999168,1,0,3,-67,146.2,0,10,0
1999169,1,0,3,-67,146.2,0,10,0
1999170,1,0,3,-67,146.2,0,10,0
1999171,1,0,3,-67,146.2,0,10,0
1999185,14,0,3,-67,146.2,0,10,0
1999202,17,12.93,17,-67.041,146.479,1,10,0
1999203,1,2.306,17,-67.059,146.506,1,10,0
1999204,1,0,17,-67.059,146.506,1,10,0
1999205,1,0,17,-67.059,146.506,1,10,0
1999206,1,0,17,-67.059,146.506,1,10,0
1999207,1,0,17,-67.059,146.506,1,10,0
1999208,1,0,17,-67.059,146.506,1,10,0
1999209,1,0,17,-67.059,146.506,1,10,0
1999210,1,0,17,-67.059,146.506,1,10,0
1999211,1,0,17,-67.059,146.506,1,10,0
1999212,1,0,17,-67.059,146.506,1,10,0
1999213,1,7.389,19,-67.03,146.353,1,10,0
1999214,1,7.389,17,-67.059,146.506,1,10,0
1999215,1,0,17,-67.059,146.506,1,10,0
1999216,1,0,17,-67.059,146.506,1,10,0
1999217,1,0,17,-67.059,146.506,1,10,0
1999218,1,0,17,-67.059,146.506,1,10,0
1999219,1,0,17,-67.059,146.506,1,10,0
1999220,1,0,17,-67.059,146.506,1,10,0
1999221,1,0,17,-67.059,146.506,1,10,0
1999222,1,0,17,-67.059,146.506,1,10,0
1999223,1,0,17,-67.059,146.506,1,10,0
1999224,1,0,17,-67.059,146.506,1,10,0
1999225,1,0,17,-67.059,146.506,1,10,0
1999226,1,0,17,-67.059,146.506,1,10,0
1999227,1,0,17,-67.059,146.506,1,10,0
1999228,1,0,17,-67.059,146.506,1,10,0
1999229,1,0,17,-67.059,146.506,1,10,0
1999230,1,0,17,-67.059,146.506,1,10,0
1999231,1,0,17,-67.059,146.506,1,10,0
1999232,1,0,17,-67.059,146.506,1,10,0
1999233,1,0,17,-67.059,146.506,1,10,0
1999234,1,0,17,-67.059,146.506,1,10,0
1999235,1,0,17,-67.059,146.506,1,10,0
1999236,1,0,17,-67.059,146.506,0,10,0
1999237,1,0,17,-67.059,146.506,0,10,0
1999238,1,0,17,-67.059,146.506,0,10,0
1999239,1,0,17,-67.059,146.506,0,10,0
1999240,1,0,17,-67.059,146.506,1,10,0
