date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2002339,0,0,17,-74.183,174.75,2,654.84,0
2002340,1,0,17,-74.183,174.75,2,650.25,0
2002341,1,0,17,-74.183,174.75,2,645.66,0
2002342,1,0,17,-74.183,174.75,2,641.07,0
2002343,1,3.803,17,-74.197,174.865,2,636.48,0
2002344,1,8.476,17,-74.272,174.82,2,631.89,0
2002345,1,9.076,17,-74.254,174.526,2,627.3,0
2002346,1,3.917,17,-74.246,174.4,2,622.71,0
2002347,1,0,17,-74.246,174.4,2,618.12,0
2002348,1,7.106,17,-74.296,174.251,2,613.53,0
2002349,1,4.766,17,-74.306,174.097,2,608.94,0
2002350,1,6.392,17,-74.315,173.887,2,604.35,0
2002351,1,0,17,-74.315,173.887,2,599.76,0
2002352,1,0,17,-74.315,173.887,2,588.7,0
2002353,1,9.366,17,-74.24,173.749,2,578.23,0
2002354,1,0,17,-74.24,173.749,2,556.82,0
2002355,1,0,17,-74.24,173.749,2,549.13,0
2002356,1,0,17,-74.24,173.749,2,542.21,0
2002357,1,0,17,-74.24,173.749,2,538.11,0
2002358,1,0,17,-74.24,173.749,2,534.66,0
2002359,1,0,17,-74.24,173.749,2,517.02,0
2002360,1,0,17,-74.24,173.749,2,519.23,0
2002361,1,0,17,-74.24,173.749,2,512.73,0
2002362,1,0,17,-74.24,173.749,2,497.63,0
2002363,1,0,17,-74.24,173.749,2,506.97,0
2002364,1,0,17,-74.24,173.749,2,520.41,0
2002365,1,0,17,-74.24,173.749,2,537.31,0
2003001,1,0,17,-74.24,173.749,2,554.53,0
2003002,1,0,17,-74.24,173.749,2,571.93,0
2003003,1,0,17,-74.24,173.749,2,591.65,0
2003004,1,0,17,-74.24,173.749,2,612.29,0
2003005,1,0,17,-74.24,173.749,2,634.85,0
2003006,1,6.894,17,-74.184,173.651,2,656.54,0
2003007,1,0,17,-74.184,173.651,2,679.09,0
2003008,1,0,17,-74.184,173.651,2,704.03,0
2003009,1,11.183,17,-74.088,173.765,2,730.11,0
