date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2003159,0,0,3,-69.8,165.3,0,1846.67,0
2003160,1,20.908,3,-69.751,164.774,0,1845.31,0
2003161,1,19.884,3,-69.704,164.275,0,1843.95,0
2003162,1,18.42,3,-69.658,163.816,0,1842.59,0
2003163,1,16.512,3,-69.615,163.407,0,1841.24,0
2003164,1,14.164,3,-69.574,163.06,0,1839.88,0
2003165,1,11.399,3,-69.536,162.787,0,1838.52,0
2003166,1,8.273,3,-69.5,162.6,0,1837.16,0
2003167,1,6.179,3,-69.466,162.474,0,1835.8,0
2003168,1,5.395,3,-69.433,162.372,0,1834.44,0
2003169,1,4.784,3,-69.402,162.287,0,1833.09,0
2003170,1,4.331,3,-69.373,162.214,0,1831.73,0
2003171,1,4.016,3,-69.346,162.146,0,1830.37,0
2003172,1,3.832,3,-69.321,162.077,0,1827.53,0
2003173,1,34.272,50,-69.456,162.867,1,1825.08,0
2003174,1,18.93,49,-69.533,163.3,1,1822.4,0
2003175,1,0,49,-69.533,163.3,1,1819.79,-0.138
2003176,1,14.988,49,-69.523,162.915,1,1816.23,0.092
2003177,1,13.137,49,-69.453,162.644,1,1810.74,0.2563
2003178,1,11.304,49,-69.36,162.525,1,1807.07,0.3027
2003179,1,3.286,49,-69.33,162.524,1,1800.4,0.3315
2003180,1,0.458,49,-69.33,162.536,1,1796.34,0.5128
2003181,1,12.459,49,-69.305,162.226,1,1789.69,0.56
2003182,1,22.227,49,-69.15,161.87,1,1782.28,0.4732
2003183,1,10.92,49,-69.135,161.597,1,1775.78,0.2525
2003184,1,9.108,49,-69.155,161.373,1,1766.2,0.3314
2003185,1,7.331,49,-69.092,161.314,1,1755.02,0.2041
2003186,1,11.517,49,-69.031,161.078,1,1744.17,0.0085
2003187,1,7.468,50,-69.041,160.892,1,1733.24,-0.0911
2003188,1,3.05,49,-69.014,160.913,1,1721.27,0
2003189,1,7.642,49,-68.987,160.737,1,1710.05,0
2003190,1,1.041,49,-68.978,160.746,1,1698.28,0
2003191,1,6.831,49,-68.922,160.672,1,1682.16,0
2003192,1,6.119,49,-68.942,160.529,1,1662.98,0.0081
2003193,1,6.859,49,-68.951,160.359,1,1644.63,-0.0054
2003194,1,1.47,49,-68.939,160.343,1,1621.03,-0.015
2003195,1,16.768,49,-68.887,159.948,1,1592.68,-0.0208
2003196,1,11.472,49,-68.806,159.773,1,1567.82,-0.0227
2003197,1,15.773,49,-68.704,159.498,1,1542.38,-0.0295
2003198,1,7.413,49,-68.68,159.326,1,1513.47,-0.0192
2003199,1,9.99,49,-68.642,159.102,1,1485.82,0.0174
2003200,1,0,49,-68.642,159.102,1,1456.49,0.0489
2003201,1,7.961,50,-68.631,158.907,1,1427.61,0.05
2003202,1,0.71,49,-68.638,158.905,1,1400.74,0.0252
2003203,1,8.587,49,-68.572,158.793,1,1370.58,0.0592
2003204,1,0,49,-68.572,158.793,1,1345.46,0.0827
2003205,1,6.183,49,-68.527,158.702,1,1317.69,0.1192
2003206,1,8.034,49,-68.455,158.684,1,1291.01,-0.0474
2003207,1,4.345,49,-68.487,158.622,1,1265.81,-0.1418
2003208,1,2.562,49,-68.49,158.684,1,1246.35,0.0218
2003209,1,12.535,49,-68.378,158.665,1,1225.54,-0.0447
2003210,1,4.356,49,-68.341,158.705,1,1208.56,-0.1341
2003211,1,3.935,49,-68.317,158.774,1,1190.48,0.1196
2003212,1,5.4,49,-68.309,158.644,1,1175.54,0.3505
2003213,1,7.331,49,-68.265,158.51,1,1162.08,0.4741
2003214,1,0,49,-68.265,158.51,1,1148.6,0.1386
2003215,1,22.851,50,-68.244,157.957,1,1136.37,-0.003
2003216,1,6.2,49,-68.238,158.107,1,1126.91,0.1561
2003217,1,0,49,-68.238,158.107,1,1122.73,-0.0003
2003218,1,0,49,-68.238,158.107,1,1117.41,-0.1627
2003219,1,19.471,49,-68.193,157.65,1,1119.5,0.1455
2003220,1,17.28,49,-68.18,157.232,1,1129.42,0.4618
2003221,1,0,49,-68.18,157.232,1,1139.7,0.5521
2003222,1,4.347,49,-68.174,157.337,1,1158.74,0.326
2003223,1,0,49,-68.174,157.337,1,1189.22,-0.0153
2003224,1,0,49,-68.174,157.337,1,1210.63,-0.3627
2003225,1,0,49,-68.174,157.337,1,1234.85,-0.7765
2003226,1,7.804,49,-68.21,157.499,1,1259.47,-0.9268
2003227,1,0,49,-68.21,157.499,1,1312.97,-0.741
2003228,1,0,49,-68.21,157.499,1,1375.19,-0.3914
2003229,1,13.8,49,-68.215,157.164,1,1442.34,-0.1063
2003230,1,8.248,49,-68.193,156.973,1,1495.59,0.1104
2003231,1,16.085,49,-68.164,156.591,1,1559.81,0.0996
2003232,1,0,49,-68.164,156.591,1,1614.04,0.0078
2003233,1,0,49,-68.164,156.591,1,1669.36,-0.0788
2003234,1,0,49,-68.164,156.591,1,1724.33,0.0026
2003235,1,0,49,-68.164,156.591,1,1766.24,-0.0109
2003236,1,0,49,-68.164,156.591,1,1792.01,0.0066
2003237,1,0,49,-68.164,156.591,1,1814.23,-0.0013
2003238,1,3.583,49,-68.156,156.507,1,1836.34,-0.0046
2003239,1,11.717,49,-68.173,156.227,1,1857.48,0.0087
2003240,1,9.964,49,-68.129,156.016,1,1878.95,0.0042
2003241,1,10.971,49,-68.118,155.753,1,1897.71,0.0009
2003242,1,0,49,-68.118,155.753,1,1914.61,-0.0019
2003243,1,0,49,-68.118,155.753,1,1911.72,-0.0042
2003244,1,17.776,49,-68.071,155.343,1,1907.35,-0.0059
2003245,1,7.696,49,-68.015,155.231,1,1904.16,-0.007
2003246,1,0,49,-68.015,155.231,1,1895.62,-0.0077
2003247,1,18.577,49,-67.975,154.797,1,1877.02,0.0053
2003248,1,1.047,49,-67.966,154.794,1,1849.32,0
2003249,1,0.643,49,-67.96,154.792,1,1829.54,0
2003250,1,6.93,51,-67.903,154.727,1,1806.45,0
2003251,1,5.136,51,-67.859,154.684,1,1786.65,0
2003252,1,5.99,51,-67.808,154.638,1,1737.62,0
2003253,1,8.762,51,-67.731,154.591,1,1680.23,0
2003254,1,9.188,51,-67.651,154.545,1,1614.1,0
2003255,1,22.356,51,-67.449,154.521,1,1561.52,0
2003256,1,5.838,51,-67.399,154.562,1,1499.2,-0.0533
2003257,1,6.583,50,-67.35,154.473,1,1445.5,0.0684
2003258,1,18.496,49,-67.426,154.86,1,1384.56,0.0712
2003259,1,9.692,49,-67.344,154.94,1,1328.62,0.0801
2003260,1,0,49,-67.344,154.94,1,1283.5,0.0765
2003261,1,13.634,49,-67.342,154.621,1,1253.73,0.0603
2003262,1,19.449,49,-67.375,154.174,1,1224.43,0.0314
2003263,1,18.18,49,-67.333,153.763,1,1195.56,-0.01
2003264,1,6.388,49,-67.28,153.826,1,1167.14,-0.0641
2003265,1,0,49,-67.28,153.826,1,1139.03,0.0368
2003266,1,13.478,49,-67.208,153.574,1,1111.73,-0.006
2003267,1,0,49,-67.208,153.574,1,1085.78,0
2003268,1,9.718,49,-67.12,153.581,1,1081.83,0.081
2003269,1,0,49,-67.12,153.581,1,1076.68,0.0371
2003270,1,11.263,49,-67.032,153.452,1,1068.3,-0.217
2003271,1,0,49,-67.032,153.452,1,1064.53,-0.4409
2003272,1,14.618,49,-67.017,153.117,1,1062.07,-0.3474
2003273,1,4.24,49,-66.98,153.089,1,1058.44,-0.4467
2003274,1,0,49,-66.98,153.089,1,1057.08,-0.1871
2003275,1,0,49,-66.98,153.089,1,1058.17,-0.1405
2003276,1,0,49,-66.98,153.089,1,1058.26,0.2968
2003277,1,0,49,-66.98,153.089,1,1058.82,0.3516
2003278,1,0,49,-66.98,153.089,1,1059.23,0.0484
2003279,1,4.097,49,-66.967,153.177,1,1059.55,-0.3492
2003280,1,0,49,-66.967,153.177,1,1064.56,-0.6652
2003281,1,0,49,-66.967,153.177,1,1067.73,-0.9417
2003282,1,0,49,-66.967,153.177,1,1074.87,-0.4729
2003283,1,0,49,-66.967,153.177,1,1083.19,-0.3713
2003284,1,14.463,49,-66.844,153.286,1,1094.36,0.5334
2003285,1,6.871,49,-66.783,153.266,1,1100.44,0.8199
2003286,1,11.929,49,-66.678,153.322,1,1115.85,0.7514
2003287,1,0,49,-66.678,153.322,1,1123.23,0.2855
2003288,1,6.768,49,-66.622,153.261,1,1135.8,-0.0641
2003289,1,0,49,-66.622,153.261,1,1148.84,-0.178
2003290,1,0,49,-66.622,153.261,1,1162.82,-0.0114
2003291,1,0,49,-66.622,153.261,1,1176.5,-0.1453
2003292,1,6.057,49,-66.602,153.133,1,1188.92,0.1432
2003293,1,4.043,49,-66.604,153.041,2,1201.62,0.0496
2003294,1,14.058,49,-66.611,152.723,2,1215.17,-0.0738
2003295,1,12.595,49,-66.591,152.441,2,1228.75,-0.2176
2003296,1,12.008,49,-66.502,152.286,2,1240.48,-0.0982
2003297,1,0,49,-66.502,152.286,2,1251.77,-0.0352
2003298,1,8.491,17,-66.428,152.33,1,1264.36,0.0529
2003299,1,0,17,-66.428,152.33,1,1274.18,0
2003300,1,0,17,-66.428,152.33,2,1283.87,0
2003301,1,12.18,17,-66.319,152.29,2,1291.73,-0.016
2003302,1,13.744,17,-66.196,152.272,2,1299.4,-0.0062
2003303,1,0,17,-66.196,152.272,2,1307.7,-0.0289
2003304,1,0,17,-66.196,152.272,2,1317.99,0.2162
2003305,1,0,17,-66.196,152.272,2,1325.03,0.137
2003306,1,3.867,19,-66.198,152.186,2,1333.83,0.0979
2003307,1,3.867,17,-66.196,152.272,2,1338.84,0.0486
2003308,1,8.208,17,-66.16,152.112,2,1342.33,-0.0109
2003309,1,0,17,-66.16,152.112,2,1348.72,-0.0804
2003310,1,11.516,17,-66.076,151.96,2,1353.75,-0.11
2003311,1,0,17,-66.076,151.96,2,1358.98,-0.105
2003312,1,7.318,17,-66.014,151.905,2,1371.78,0.108
2003313,1,0,17,-66.014,151.905,2,1378.8,-0.016
2003314,1,9.428,17,-65.954,151.757,2,1385.94,0
2003315,1,7.144,17,-65.899,151.838,2,1391.53,0
2003316,1,0,17,-65.899,151.838,1,1398.51,0
2003317,1,0,17,-65.899,151.838,2,1406.81,0
2003318,1,10.044,17,-65.818,151.738,1,1413.37,0
2003319,1,14.593,17,-65.77,151.44,1,1413.98,0
2003320,1,0,17,-65.77,151.44,1,1414.8,0
2003321,1,15.452,17,-65.743,151.107,2,1421.14,0
2003322,1,0,17,-65.743,151.107,1,1425.3,-0.0094
2003323,1,8.429,17,-65.684,150.989,2,1429.46,0.0063
2003324,1,0,17,-65.684,150.989,2,1435.03,0.0175
2003325,1,14.747,17,-65.642,150.684,2,1437.3,0.0242
2003326,1,14.074,17,-65.598,150.396,2,1442.56,0.0265
2003327,1,28.482,19,-65.618,149.777,2,1443.72,0.0242
2003328,1,19.382,17,-65.628,150.199,2,1449.74,0.0175
2003329,1,9.669,17,-65.654,149.998,2,1456.42,0.0063
2003330,1,0,17,-65.654,149.998,2,1462.3,-0.0094
2003331,1,12.824,17,-65.647,149.718,2,1468.63,0
2003332,1,0,17,-65.647,149.718,2,1473.64,0
2003333,1,8.364,17,-65.654,149.536,2,1480.03,0
2003334,1,0,17,-65.654,149.536,2,1480.6,0
