date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2003240,0,0,48,-68.75,159.35,1,2687.05,-0.0094
2003241,1,0,48,-68.75,159.35,1,2700.21,0.0059
2003242,1,15.104,48,-68.644,159.116,1,2713.36,0.0103
2003243,1,9.218,48,-68.561,159.095,1,2726.52,0.0077
2003244,1,0,48,-68.561,159.095,1,2739.67,0.0016
2003245,1,26.628,48,-68.356,158.757,1,2752.83,0.0027
2003246,1,13.316,48,-68.295,158.477,1,2765.98,0.0029
2003247,1,0,48,-68.295,158.477,1,2779.14,0.0022
2003248,1,1.655,49,-68.282,158.459,1,2792.3,-0.0059
2003249,1,3.918,49,-68.25,158.417,1,2805.45,-0.0112
2003250,1,4.628,49,-68.212,158.372,1,2818.61,0.0264
2003251,1,17.762,48,-68.064,158.206,1,2831.76,-0.0071
2003252,1,3.211,49,-68.036,158.19,1,2844.92,-0.0008
2003253,1,3.309,49,-68.006,158.177,1,2871.76,0
2003254,1,2.593,49,-67.983,158.168,1,2875.23,0
2003255,1,11.208,48,-67.884,158.123,1,2886.07,0.0428
2003256,1,0,48,-67.884,158.123,1,2903.84,-0.0286
2003257,1,5.617,48,-67.849,158.219,1,2919.12,-0.0795
2003258,1,0,48,-67.849,158.219,1,2943.06,-0.1101
2003259,1,3.57,48,-67.846,158.304,1,2971.33,-0.1203
2003260,1,0,48,-67.846,158.304,1,3023.71,-0.1101
2003261,1,10.965,48,-67.816,158.055,1,3070.11,-0.0795
2003262,1,16.948,48,-67.741,157.702,1,3110.26,-0.0286
2003263,1,14.719,48,-67.68,157.393,1,3154.24,0.0282
2003264,1,12.742,48,-67.651,157.1,1,3211.14,0.0166
2003265,1,5.053,48,-67.666,156.988,1,3280.99,0.0231
2003266,1,9.747,48,-67.59,156.872,1,3357.08,0.0047
2003267,1,22.674,48,-67.524,156.366,1,3436.45,-0.0037
2003268,1,9.75,48,-67.507,156.141,1,3532.23,0.1345
2003269,1,8.965,48,-67.494,155.933,1,3621.8,0.134
2003270,1,8.272,48,-67.456,155.764,1,3708.91,-0.0509
2003271,1,2.66,48,-67.441,155.716,1,3806.71,0.0174
2003272,1,12.012,48,-67.522,155.529,1,3894.71,0.008
2003273,1,11.776,48,-67.496,155.261,1,3976.34,-0.0419
2003274,1,8.118,48,-67.481,155.074,1,4056.53,-0.0863
2003275,1,3.779,49,-67.449,155.103,1,4130.48,-0.0356
2003276,1,0,48,-67.449,155.103,1,4208.7,0.0309
2003277,1,3.375,48,-67.462,155.032,1,4283.63,-0.0402
2003278,1,0,48,-67.462,155.032,1,4352.39,-0.1697
2003279,1,1.548,48,-67.469,155,1,4437.78,-0.0313
2003280,1,0,48,-67.469,155,1,4520.67,-0.0485
2003281,1,0,48,-67.469,155,1,4598.48,-0.0438
2003282,1,0,48,-67.469,155,1,4675.49,-0.0688
2003283,1,0,48,-67.469,155,1,4756.51,-0.0286
2003284,1,0,48,-67.469,155,1,4833.05,-0.112
2003285,1,0,48,-67.469,155,1,4885.69,-0.0749
2003286,1,0,48,-67.469,155,1,4935.77,-0.0775
2003287,1,0,48,-67.469,155,1,4990.71,-0.011
2003288,1,0,48,-67.469,155,1,5034.37,0.0745
2003289,1,0,48,-67.469,155,1,5066.1,0.1045
2003290,1,0,48,-67.469,155,1,5095.01,0.0812
2003291,1,0,48,-67.469,155,1,5106.41,0.0913
2003292,1,0,48,-67.469,155,1,5108.01,0.0059
2003293,1,5.34,49,-67.441,154.898,1,5104.83,-0.0043
2003294,1,8.277,48,-67.428,154.706,1,5107.15,-0.0536
2003295,1,5.816,48,-67.48,154.69,1,5107.13,-0.0323
2003296,1,5.897,48,-67.473,154.552,1,5101.91,-0.0145
2003297,1,0,48,-67.473,154.552,1,5088.46,-0.0069
2003298,1,11.288,17,-67.539,154.35,1,5077.32,0.0008
2003299,1,0,17,-67.539,154.35,1,5065.02,-0.0305
2003300,1,0,17,-67.539,154.35,1,5055.66,-0.0845
2003301,1,0,17,-67.539,154.35,1,5039.82,-0.078
2003302,1,5.144,17,-67.578,154.416,1,5025.7,-0.0158
2003303,1,0,17,-67.578,154.416,1,5010.59,-0.0504
2003304,1,0,17,-67.578,154.416,1,4992.96,-0.0294
2003305,1,0,17,-67.578,154.416,1,4979.27,0.0579
2003306,1,0,17,-67.578,154.416,1,4962.53,-0.0327
2003307,1,0,17,-67.578,154.416,1,4936.57,-0.1007
2003308,1,0,17,-67.578,154.416,1,4910.43,-0.2396
2003309,1,0,17,-67.578,154.416,1,4883.73,-0.2228
2003310,1,0,17,-67.578,154.416,1,4855.32,-0.2007
2003311,1,0,17,-67.578,154.416,1,4824.94,-0.1738
2003312,1,0,17,-67.578,154.416,1,4798.9,-0.0698
2003313,1,0,17,-67.578,154.416,1,4771.69,0.0535
2003314,1,0,17,-67.578,154.416,1,4744.65,0.0136
2003315,1,0,17,-67.578,154.416,1,4723.05,0.0415
2003316,1,0,17,-67.578,154.416,1,4699.73,-0.0291
2003317,1,9.089,17,-67.528,154.247,1,4682.18,0.0089
2003318,1,0,17,-67.528,154.247,1,4664.18,-0.0267
2003319,1,0,17,-67.528,154.247,1,4646.29,0.0108
2003320,1,0,17,-67.528,154.247,1,4624.73,0
2003321,1,0,17,-67.528,154.247,1,4600.27,-0.001
2003322,1,0,17,-67.528,154.247,1,4573.62,0.0023
