date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2005072,0,0,2,-65.85,84.47,1,323.16,0
2005212,140,3.33,2,-65.82,84.47,1,332.61,0
2005213,1,0.195,3,-65.822,84.469,1,342.06,0
2005214,1,0.485,3,-65.826,84.466,1,351.51,0
2005215,1,0.679,3,-65.832,84.462,1,360.96,0
2005216,1,0.736,3,-65.838,84.458,1,370.41,0
2005217,1,0.678,3,-65.844,84.454,1,379.86,0
2005218,1,0.484,3,-65.848,84.451,1,389.31,0
2005219,1,0.195,2,-65.85,84.45,1,398.76,0
2005233,14,2.605,2,-65.83,84.48,2,408.21,0
2005247,14,1.11,2,-65.82,84.48,2,417.66,0
2005248,1,0.083,3,-65.821,84.481,2,427.11,0
2005249,1,0.204,3,-65.822,84.484,2,436.56,0
2005250,1,0.276,3,-65.824,84.488,2,441.9,0
2005251,1,0.31,3,-65.826,84.492,2,435.54,0
2005252,1,0.276,3,-65.828,84.496,2,449.44,0
2005253,1,0.204,3,-65.829,84.499,2,467.5,0
2005254,1,0.083,2,-65.83,84.5,2,487.12,0
2005255,1,0,3,-65.83,84.5,2,496.91,0
2005256,1,0,3,-65.83,84.5,2,519.16,0
2005257,1,0,3,-65.83,84.5,2,540.18,0
2005258,1,0,3,-65.83,84.5,2,563.75,0
2005259,1,0,3,-65.83,84.5,2,582.03,0
2005260,1,0,3,-65.83,84.5,2,605.06,0
2005261,1,0,2,-65.83,84.5,2,613.12,0
2005262,1,0.05,3,-65.83,84.501,2,628.66,0
2005263,1,0.132,3,-65.83,84.504,2,647.59,0
2005264,1,0.177,3,-65.83,84.508,2,668.97,0
2005265,1,0.191,3,-65.83,84.512,2,689.61,0
2005266,1,0.177,3,-65.83,84.516,2,724.56,0
2005267,1,0.132,3,-65.83,84.519,2,759.84,0
2005268,1,0.05,2,-65.83,84.52,2,795.13,0
2005269,1,0.127,3,-65.83,84.517,2,830.15,0
2005270,1,0.323,3,-65.83,84.51,2,866.63,0
2005271,1,0.445,3,-65.83,84.5,2,902.18,0
2005272,1,0.482,3,-65.83,84.49,2,938.79,0
2005273,1,0.445,3,-65.83,84.48,2,974.3,0
2005274,1,0.323,3,-65.83,84.473,2,1010.67,0
2005275,1,0.127,2,-65.83,84.47,2,1047.4,0
2005296,21,0,2,-65.83,84.47,2,1138.42,0
2005317,21,1.818,2,-65.83,84.43,2,1215.21,0
