date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
1992040,0,0,128,-71.08,-161,1,10,0
1992041,1,0,128,-71.08,-161,0,10,0
1992042,1,0,128,-71.08,-161,0,10,0
1992043,1,1.37,128,-71.069,-160.984,0,10,0
1992044,1,2.749,128,-71.046,-160.952,0,10,0
1992045,1,2.75,128,-71.024,-160.92,0,10,0
1992046,1,4.04,128,-70.988,-160.904,0,10,0
1992047,1,5.516,128,-70.938,-160.903,1,10,0
1992048,1,5.516,128,-70.888,-160.902,1,10,0
1992049,1,2.753,128,-70.864,-160.901,0,10,0
1992050,1,0,128,-70.864,-160.901,1,10,0
1992051,1,0,128,-70.864,-160.901,1,10,0
1992052,1,2.983,128,-70.843,-160.847,0,10,0
1992053,1,5.974,128,-70.803,-160.74,1,10,0
1992054,1,5.977,128,-70.762,-160.632,1,10,0
1992055,1,2.989,128,-70.742,-160.578,0,10,0
1992056,1,0,128,-70.742,-160.578,1,10,0
1992057,1,0,128,-70.742,-160.578,1,10,0
1992058,1,0,128,-70.742,-160.578,0,10,0
1992059,1,0,128,-70.742,-160.578,0,10,0
1992060,1,0,128,-70.742,-160.578,0,10,0
1992061,1,0,128,-70.742,-160.578,0,10,0
1992062,1,0,128,-70.742,-160.578,0,10,0
1992063,1,0,128,-70.742,-160.578,0,10,0
1992064,1,2.043,128,-70.724,-160.593,0,10,0
1992065,1,4.085,128,-70.688,-160.621,1,10,0
1992066,1,4.087,128,-70.653,-160.649,1,10,0
1992067,1,3.553,128,-70.621,-160.647,0,10,0
1992068,1,3.404,128,-70.592,-160.612,1,10,0
1992069,1,3.404,128,-70.564,-160.578,1,10,0
1992070,1,2.763,128,-70.54,-160.555,0,10,0
1992071,1,2.143,128,-70.521,-160.544,0,10,0
1992072,1,2.154,128,-70.502,-160.532,0,10,0
1992073,1,3.301,128,-70.474,-160.503,0,10,0
1992074,1,4.46,128,-70.437,-160.459,0,10,0
1992075,1,4.473,128,-70.399,-160.414,0,10,0
1992076,1,2.237,128,-70.381,-160.391,0,10,0
1992077,1,0,128,-70.381,-160.391,0,10,0
1992078,1,0,128,-70.381,-160.391,0,10,0
1992079,1,2.753,128,-70.356,-160.392,0,10,0
1992080,1,5.494,128,-70.306,-160.392,1,10,0
1992081,1,5.505,128,-70.257,-160.392,1,10,0
1992082,1,4.658,128,-70.216,-160.362,0,10,0
1992083,1,4.212,128,-70.184,-160.301,1,10,0
1992084,1,4.216,128,-70.152,-160.24,1,10,0
1992085,1,2.104,128,-70.136,-160.21,0,10,0
1992086,1,0,128,-70.136,-160.21,0,10,0
1992087,1,0,128,-70.136,-160.21,0,10,0
1992088,1,0.808,128,-70.131,-160.195,0,10,0
1992089,1,1.612,128,-70.121,-160.166,0,10,0
1992090,1,1.612,128,-70.11,-160.136,0,10,0
1992091,1,3.09,128,-70.108,-160.055,0,10,0
1992092,1,5.096,128,-70.114,-159.921,0,10,0
1992093,1,5.099,128,-70.121,-159.787,0,10,0
1992094,1,5.095,128,-70.127,-159.653,0,10,0
1992095,1,5.096,128,-70.133,-159.52,0,10,0
1992096,1,5.09,128,-70.14,-159.386,0,10,0
1992097,1,5.094,128,-70.146,-159.252,0,10,0
1992098,1,5.091,128,-70.152,-159.118,0,10,0
1992099,1,5.086,128,-70.159,-158.985,0,10,0
1992100,1,5.09,128,-70.165,-158.851,0,10,0
1992101,1,5.083,128,-70.171,-158.717,0,10,0
1992102,1,5.085,128,-70.178,-158.583,0,10,0
1992103,1,5.081,128,-70.184,-158.45,0,10,0
1992104,1,5.082,128,-70.19,-158.316,0,10,0
1992105,1,5.077,128,-70.197,-158.182,0,10,0
1992106,1,2.54,128,-70.2,-158.115,0,10,0
1992107,1,0,128,-70.2,-158.115,0,10,0
1992108,1,0,128,-70.2,-158.115,0,10,0
1992109,1,3.464,128,-70.213,-158.032,0,10,0
1992110,1,6.916,128,-70.24,-157.866,0,10,0
1992111,1,6.914,128,-70.267,-157.699,0,10,0
1992112,1,3.455,128,-70.28,-157.616,0,10,0
1992113,1,0,128,-70.28,-157.616,0,10,0
1992114,1,0,128,-70.28,-157.616,0,10,0
1992115,1,3.416,128,-70.309,-157.652,0,10,0
1992116,1,6.83,128,-70.365,-157.724,0,10,0
1992117,1,6.817,128,-70.422,-157.796,0,10,0
1992118,1,7.009,128,-70.483,-157.846,0,10,0
1992119,1,7.299,128,-70.548,-157.874,0,10,0
1992120,1,7.287,128,-70.613,-157.902,0,10,0
1992121,1,3.654,128,-70.645,-157.915,0,10,0
1992122,1,0,128,-70.645,-157.915,0,10,0
1992123,1,0,128,-70.645,-157.915,0,10,0
1992124,1,4.893,128,-70.668,-158.03,0,10,0
1992125,1,9.774,128,-70.712,-158.26,0,10,0
1992126,1,9.756,128,-70.756,-158.491,0,10,0
1992127,1,7.592,128,-70.786,-158.678,0,10,0
1992128,1,5.533,128,-70.8,-158.823,0,10,0
1992129,1,5.533,128,-70.815,-158.968,0,10,0
1992130,1,3.464,128,-70.809,-159.061,0,10,0
1992131,1,3.37,128,-70.782,-159.102,0,10,0
1992132,1,3.364,128,-70.755,-159.143,0,10,0
1992133,1,3.785,128,-70.726,-159.197,0,10,0
1992134,1,4.225,128,-70.695,-159.265,0,10,0
1992135,1,4.218,128,-70.664,-159.333,0,10,0
1992136,1,6.137,128,-70.614,-159.405,0,10,0
1992137,1,8.14,128,-70.546,-159.482,0,10,0
1992138,1,8.143,128,-70.477,-159.56,0,10,0
1992139,1,6.852,128,-70.417,-159.61,0,10,0
1992140,1,5.628,128,-70.367,-159.633,0,10,0
1992141,1,5.629,128,-70.317,-159.657,0,10,0
1992142,1,2.809,128,-70.292,-159.668,0,10,0
1992143,1,0,128,-70.292,-159.668,0,10,0
