date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2007155,0,0,16,-68.756,177.205,2,917.11,-0.0052
2007156,1,0,16,-68.756,177.205,2,911.14,-0.0271
2007157,1,17.656,16,-68.657,176.863,2,905.17,0.0218
2007158,1,15.792,16,-68.516,176.903,2,899.2,0.1129
2007159,1,27.028,16,-68.272,176.908,2,893.23,0.2176
2007160,1,24.01,16,-68.056,176.914,2,887.26,0.2493
2007161,1,16.379,16,-67.909,176.88,2,881.29,0.4163
2007162,1,37.201,16,-67.58,176.711,2,875.32,0.3776
2007163,1,0,16,-67.58,176.711,2,869.35,0.1865
2007164,1,14.679,16,-67.684,176.925,2,863.39,-0.0541
2007165,1,0,16,-67.684,176.925,2,857.42,0.0865
2007166,1,10.486,16,-67.643,176.701,2,851.45,-0.2361
2007167,1,12.277,16,-67.628,176.413,2,845.48,-0.1535
2007168,1,0,16,-67.628,176.413,2,839.96,-0.1522
2007169,1,19.233,16,-67.586,175.972,2,835.56,0.0333
2007170,1,20.785,16,-67.424,175.727,2,831.36,0.0328
2007171,1,17.22,16,-67.273,175.634,2,825.24,0
2007172,1,0,16,-67.273,175.634,2,819.87,0
2007173,1,11.354,16,-67.179,175.739,2,814.38,0
2007174,1,34.318,16,-66.978,175.136,2,808.75,0
2007175,1,95.246,16,-66.291,173.838,2,803.31,-0.0249
2007176,1,0,16,-66.291,173.838,2,798.44,0.0006
2007177,1,10.18,16,-66.2,173.834,2,795.1,0.053
2007178,1,10.231,16,-66.289,173.888,2,790.48,0.0961
2007179,1,0,16,-66.289,173.888,2,786.79,0.1142
2007180,1,8.385,16,-66.272,174.071,2,785.11,0.1211
2007181,1,0,16,-66.272,174.071,2,784.26,0.105
2007182,1,23.432,16,-66.24,173.553,2,782.26,0.0685
2007183,1,11.879,16,-66.199,173.308,2,782.42,0.0018
2007184,1,17.372,16,-66.042,173.289,2,782.75,-0.0086
2007185,1,11.946,16,-65.997,173.049,2,783.47,-0.0037
2007186,1,0,16,-65.997,173.049,2,784.81,-0.005
2007187,1,7.831,16,-65.987,173.22,2,786.46,0.0182
2007188,1,11.129,16,-65.912,173.385,2,788.06,-0.0188
2007189,1,12.64,16,-65.898,173.661,2,790.49,-0.0538
2007190,1,0,16,-65.898,173.661,2,793.13,-0.0704
2007191,1,14.551,16,-65.933,173.971,2,795.82,-0.1105
2007192,1,7.964,16,-65.874,174.07,2,799.32,-0.1362
2007193,1,0,16,-65.874,174.07,2,804.59,-0.1329
2007194,1,16.905,16,-65.724,174.129,2,810.25,-0.1008
2007195,1,6.913,16,-65.673,174.217,2,816.74,-0.014
2007196,1,0,16,-65.673,174.217,2,825.48,-0.1002
2007197,1,16.063,16,-65.628,174.55,2,833.02,-0.0101
2007198,1,0,16,-65.628,174.55,2,842.69,0.0246
2007199,1,6.482,16,-65.668,174.448,2,850.23,0.0027
2007200,1,11.134,16,-65.768,174.429,2,860.53,-0.0135
2007201,1,14.213,16,-65.865,174.634,2,873.48,-0.0891
2007202,1,0,16,-65.865,174.634,2,885.37,-0.1402
2007203,1,6.447,16,-65.866,174.776,2,894.38,-0.2455
2007204,1,10.067,16,-65.789,174.66,2,903.91,-0.3222
2007205,1,5.972,16,-65.798,174.789,2,918.79,-0.1834
2007206,1,0,16,-65.798,174.789,2,935.83,-0.1825
2007207,1,13.317,16,-65.716,174.575,2,956.05,-0.1515
2007208,1,17.876,16,-65.624,174.255,2,974.14,-0.0953
2007209,1,18.23,16,-65.476,174.085,2,999.42,-0.0886
2007210,1,0,16,-65.476,174.085,2,1012.6,-0.0613
2007211,1,11.455,16,-65.561,174.224,2,1026.35,-0.0887
2007212,1,9.187,16,-65.523,174.401,2,1049.95,-0.0219
2007213,1,5.603,16,-65.56,174.483,2,1074.5,0.03
2007214,1,0,16,-65.56,174.483,2,1092.55,-0.0002
2007215,1,6.661,16,-65.62,174.464,2,1122.61,0.0024
2007216,1,21.888,17,-65.649,174.937,1,1148.3,0.0066
2007217,1,21.682,16,-65.662,175.409,1,1173.99,0.0091
2007218,1,0,16,-65.662,175.409,1,1199.69,0.0099
2007219,1,0,16,-65.662,175.409,1,1225.38,0.0091
2007220,1,0,16,-65.662,175.409,1,1251.07,0.0066
2007221,1,0,16,-65.662,175.409,1,1276.76,0.0024
2007222,1,24.022,16,-65.878,175.394,1,1302.46,-0.0035
2007223,1,0,16,-65.878,175.394,1,1328.15,0
2007224,1,22.77,16,-65.721,175.072,1,1353.84,0
2007225,1,0,16,-65.721,175.072,1,1379.54,0
2007226,1,39.061,16,-65.695,175.925,1,1405.23,0
2007227,1,14.28,16,-65.727,176.227,1,1430.92,0
